客场队名,主场队名,客场本场前战绩,主场本场前战绩
201,14,42胜8负,19胜32负
201,28,32胜6负,14胜21负
201,124,57胜14负,41胜30负
201,131,9胜1负,8胜4负
201,180,57胜18负,39胜36负
202,55,17胜9负,18胜7负
202,111,3胜1负,1胜3负
202,160,33胜14负,25胜24负
202,160,48胜16负,33胜32负
202,174,12胜8负,12胜8负
203,23,9胜3负,6胜7负
203,42,8胜3负,6胜5负
203,49,26胜8负,21胜10负
203,91,12胜3负,5胜8负
203,112,49胜15负,21胜39负
203,154,58胜21负,43胜37负
203,189,2胜0负,0胜2负
203,189,55胜18负,49胜24负
204,64,15胜4负,7胜12负
204,134,18胜4负,6胜19负
204,134,8胜1负,1胜8负
204,141,20胜5负,14胜12负
204,148,19胜4负,16胜9负
205,25,32胜19负,20胜32负
205,100,23胜15负,25胜12负
205,149,2胜2负,2胜2负
205,191,19胜13负,22胜8负
206,26,53胜9负,33胜30负
206,33,29胜6负,14胜21负
206,59,17胜4负,1胜20负
206,115,53胜10负,20胜44负
206,192,15胜4负,11胜8负
206,199,51胜9负,23胜36负
207,20,40胜12负,25胜28负
207,109,28胜7负,14胜21负
207,123,57胜17负,43胜31负
207,130,23胜6负,13胜18负
207,137,61胜20负,50胜31负
207,151,43胜13负,35胜22负
207,186,22胜5负,21胜7负
