队名,队员号,出场次数,首发次数,上场时间,投篮命中率,投篮命中次数,投篮出手次数,三分命中率,三分命中次数,三分出手次数,罚球命中率,罚球命中次数,罚球出手次数,篮板总数,前场篮板,后场篮板,助攻,抢断,盖帽,失误,犯规,得分
58,10,71,23,25,41.30%,3.2,7.6,40.10%,1.6,4,70.80%,0.9,1.3,2.8,0.7,2,1.2,0.8,0.4,0.9,2,8.8
58,11,22,0,18.5,46.70%,3.6,7.7,0.00%,0,0.1,60.30%,1.6,2.6,7.7,2.8,4.9,1.1,0.7,0.4,1.2,2.3,8.8
58,12,73,32,19.2,47.40%,3.3,6.9,18.20%,0.1,0.3,77.40%,1.5,1.9,4.9,1.7,3.3,1.1,0.5,0.4,1.4,1.8,8
58,13,65,11,21.2,35.20%,1.9,5.4,31.40%,0.8,2.4,59.10%,1.8,3,3,0.8,2.3,1.2,0.6,1,1.3,2.2,6.3
58,14,20,6,19,41.20%,2.5,6,23.30%,0.4,1.5,63.60%,1.1,1.7,3.7,1.8,1.9,1.4,0.9,0.2,1.3,2.7,6.3
58,15,9,2,20.8,31.70%,2.1,6.7,25.60%,1.1,4.3,75.00%,0.7,0.9,2.9,0.3,2.6,0.3,1,0.6,1,2.1,6
58,16,6,3,28.8,30.20%,2.2,7.2,27.30%,0.5,1.8,33.30%,0.8,2.5,3.2,0.7,2.5,7.2,1,0,3,2.7,5.7
58,17,74,32,15.3,42.20%,2,4.7,24.40%,0.4,1.7,67.00%,0.9,1.3,2.2,0.5,1.7,1,0.5,0.4,1,1.8,5.2
58,18,10,1,15.4,41.90%,1.8,4.3,30.80%,0.4,1.3,50.00%,0.4,0.8,2.5,1.1,1.4,0.8,0.3,0.1,0.8,1,4.4
58,19,12,1,18.3,34.50%,1.7,4.8,15.40%,0.3,2.2,66.70%,0.2,0.3,1.3,0.1,1.2,3.8,0.5,0,2.1,1.1,3.8
58,20,6,0,10.2,44.40%,1.3,3,,0,0,50.00%,0.3,0.7,2.2,0.7,1.5,0.3,0,0.2,0.8,0.3,3
58,21,17,0,11.4,45.00%,1.1,2.4,0.00%,0,0.4,69.20%,0.5,0.8,3.3,0.9,2.4,0.4,0.2,0.1,0.8,1,2.6
58,22,42,9,12.9,51.30%,1,1.9,0.00%,0,0.1,48.10%,0.3,0.6,4.2,1.9,2.3,0.7,0.4,0.4,0.4,2.3,2.2
58,23,9,0,8,42.10%,0.9,2.1,0.00%,0,0.3,50.00%,0.1,0.2,2,0.8,1.2,0.2,0.1,0,0.9,0.8,1.9
58,24,1,0,2,0.00%,0,1,,0,0,,0,0,0,0,0,0,0,0,0,0,0
59,0,53,48,30.1,50.80%,7.5,14.7,16.70%,0,0.1,68.60%,2.5,3.7,7,2.3,4.7,1.2,0.4,1.2,2.3,2.6,17.5
59,1,50,50,32.4,40.50%,6,14.8,33.60%,0.9,2.7,66.90%,1.8,2.7,4.3,0.6,3.7,7,1.3,0.4,2.6,1.9,14.7
59,2,67,49,28.4,38.50%,4.1,10.6,35.30%,2.5,7.2,79.10%,2.1,2.6,6.3,1,5.3,1.4,1.6,0.6,2.1,3.5,12.8
59,3,67,62,29.3,52.10%,4.6,8.8,50.00%,0,0,59.00%,2,3.4,8.1,2.3,5.8,1.8,1.8,1.5,2.4,2.9,11.1
59,4,77,39,25.5,36.00%,3.4,9.4,36.30%,2.3,6.3,83.30%,1.9,2.3,2.3,0.3,2,1.8,0.7,0.2,1.2,1.7,11
59,5,77,17,28,39.70%,3.5,8.8,38.00%,1.9,5.1,71.90%,0.9,1.2,3.5,0.7,2.8,1.3,0.5,0.3,1,2.4,9.8
59,6,36,12,15.8,55.60%,3.9,6.9,46.20%,0.2,0.4,73.60%,1.9,2.5,4.1,1.4,2.7,0.9,0.3,0.3,0.6,1.9,9.8
59,7,77,52,26.9,41.90%,3.3,7.8,24.00%,0.5,1.9,65.80%,2.8,4.2,4.7,1.3,3.4,1.8,0.7,1.6,1.4,2.8,9.7
59,8,73,35,24.8,38.50%,2.9,7.5,32.60%,1.5,4.5,77.10%,1.2,1.6,2.5,0.3,2.2,1.9,0.6,0.3,1.3,1.6,8.5
59,9,8,3,18.1,33.80%,2.8,8.1,17.60%,0.4,2.1,54.10%,2.5,4.6,2.6,0.3,2.4,2.5,0.4,0,3.6,1.4,8.4
59,10,81,17,19.9,47.00%,2.7,5.7,34.80%,0.4,1.1,63.40%,0.3,0.5,3.1,0.5,2.6,4.5,1.2,0.1,1.7,1.4,6.1
59,11,51,1,13.7,51.40%,2.2,4.4,18.20%,0.2,0.9,68.90%,1,1.5,2.6,1.2,1.4,0.6,0.4,0.8,0.6,1.8,5.6
59,12,47,18,14.7,42.60%,1.8,4.3,17.60%,0.1,0.7,63.90%,1.3,2.1,2.7,0.6,2.1,0.6,0.2,0.3,1.1,1.9,5.1
59,13,17,1,13.2,43.10%,1.8,4.2,0.00%,0,0.1,88.90%,0.5,0.5,3.7,0.5,3.2,1.1,0.5,0.5,0.6,1.9,4.1
59,14,14,0,12.4,38.20%,1.5,3.9,30.80%,0.3,0.9,50.00%,0.6,1.3,1.6,0,1.6,3.3,0.8,0.1,1.4,1,3.9
59,15,30,6,13.3,36.40%,1.4,3.9,32.70%,0.5,1.6,69.20%,0.3,0.4,0.9,0.1,0.9,2.4,0.5,0.1,1.4,1,3.7
59,16,17,0,8.5,41.50%,1.3,3.1,36.40%,0.2,0.6,61.90%,0.8,1.2,2.2,0.8,1.5,0.2,0.3,0.4,0.1,0.6,3.6
59,17,7,0,11.1,33.30%,1,3,22.20%,0.3,1.3,50.00%,0.1,0.3,1.7,0.1,1.6,0.3,0,0,0.6,1,2.4
60,0,31,31,25.4,46.60%,6.5,13.8,36.70%,1.2,3.2,78.30%,6.2,7.9,7.8,2,5.9,2.1,0.9,2.5,3.8,3.6,20.2
60,1,53,40,27.3,44.00%,5.4,12.2,35.90%,2,5.6,76.80%,2.1,2.7,5.9,1.3,4.6,1.8,0.6,0.3,1.5,2.5,14.8
60,2,67,67,31.6,39.90%,4.4,10.9,33.30%,2,6.1,82.20%,2.1,2.6,6.5,1.4,5.1,1.5,1.9,1,2,3,12.9
60,3,81,36,26.3,41.10%,4.7,11.4,31.10%,1.3,4.2,78.20%,2.1,2.7,6.3,1.4,5,2.2,0.7,0.4,2.3,2,12.8
60,4,50,33,22.7,51.40%,4.8,9.4,,0,0,67.10%,2.1,3.2,4.8,1.6,3.2,1.2,0.4,1,1.8,2.4,11.8
60,5,3,1,23.7,34.40%,3.7,10.7,40.00%,0.7,1.7,90.00%,3,3.3,4,1,3,4.3,0,0,3,1.3,11
60,6,6,1,26.2,46.30%,4.2,9,31.60%,1,3.2,80.00%,1.3,1.7,4.8,1.8,3,0.8,0.5,0.2,0.5,2.3,10.7
60,7,57,17,20.9,55.80%,4,7.2,35.10%,0.5,1.4,69.90%,1.3,1.8,5.5,1.6,3.8,1,0.7,0.9,1,2.4,9.8
60,8,80,27,27.4,39.60%,3.1,7.9,36.80%,1.7,4.5,81.30%,1.5,1.9,2.8,0.3,2.6,2.4,0.6,0.4,1.6,1.8,9.5
60,9,72,41,23.2,42.40%,3.3,7.7,35.30%,0.8,2.4,80.60%,1.8,2.3,2.6,0.5,2.1,1.6,0.6,0.2,0.9,1.8,9.2
60,10,29,7,19.4,61.10%,3.7,6,0.00%,0,0,68.30%,1.5,2.2,5,1.6,3.4,1,1.5,0.9,1,2.4,8.9
60,11,24,8,21.5,46.60%,3.1,6.7,29.20%,0.9,3,78.00%,1.3,1.7,4,1.3,2.8,1.4,0.5,0.3,1.1,1.9,8.5
60,12,18,0,12.9,56.00%,3.4,6.1,36.80%,0.4,1.1,54.30%,1.1,1.9,4.7,2.3,2.4,0.7,0.5,0.5,0.7,2.7,8.2
60,13,2,0,20.5,35.30%,3,8.5,0.00%,0,1,50.00%,2,4,3,0,3,0,0,2,1.5,2.5,8
60,14,68,30,22.3,39.20%,3.1,7.9,36.50%,1.4,3.7,66.70%,0.3,0.4,2.3,0.3,2,5.1,0.7,0.1,1.9,1.4,7.8
60,15,81,51,26.4,46.10%,2.9,6.3,20.00%,0.1,0.7,81.10%,0.9,1.1,3.1,0.5,2.6,6.6,1.7,0.1,2,1.7,6.9
60,16,69,19,17.2,40.20%,2.1,5.2,31.10%,0.7,2.3,85.40%,1.5,1.8,2.2,0.4,1.8,1.1,0.5,0.1,1.1,2.2,6.4
60,17,31,1,18.1,41.50%,2.1,5.1,36.60%,0.8,2.3,65.00%,0.4,0.6,2.7,0.5,2.2,0.8,0.5,0.2,0.3,1.8,5.5
60,18,8,0,9.3,46.20%,1.5,3.3,40.00%,0.8,1.9,100.00%,1.5,1.5,0.6,0,0.6,0.8,0.4,0.1,0.4,1.4,5.3
60,19,8,0,9.6,45.20%,1.8,3.9,33.30%,0.3,0.8,81.80%,1.1,1.4,2.8,1,1.8,0.5,0.1,0.1,0.8,1,4.9
60,20,3,0,10.7,41.70%,1.7,4,28.60%,0.7,2.3,,0,0,1.7,0.7,1,0.7,0,0,1.3,0.7,4
60,21,1,0,5,0.00%,0,1,0.00%,0,1,,0,0,1,0,1,0,0,0,1,0,0
61,0,66,66,35.7,44.80%,8,17.8,34.50%,1.2,3.4,82.00%,4.3,5.3,5.2,1.1,4.1,1.8,0.5,0.7,2.3,2.4,21.4
61,1,82,82,34.8,46.70%,6.6,14.1,9.60%,0.1,0.6,81.30%,4,4.9,3.8,0.9,2.9,1.8,1,0.4,1.8,2.6,17.2
61,2,58,0,24.1,45.00%,5.1,11.3,33.80%,1.2,3.7,79.60%,1.9,2.4,1.7,0.2,1.5,2.1,0.9,0.1,1.4,1.9,13.3
61,3,39,23,26.5,43.80%,4.6,10.4,29.80%,1,3.4,63.10%,1.1,1.7,4.5,0.9,3.6,1,0.5,0.2,1.7,2.5,11.2
61,4,13,13,26.7,39.30%,3.7,9.4,16.70%,0.3,1.8,87.00%,3.1,3.5,3.2,0.5,2.8,4.5,1.1,0,2.6,1.9,10.8
61,5,60,14,22.5,42.90%,3.4,7.8,34.80%,0.8,2.2,81.00%,2.6,3.2,2.5,0.4,2.1,4,0.6,0.1,1.8,2.2,10
61,6,2,0,11,70.00%,3.5,5,66.70%,2,3,100.00%,1,1,1.5,0,1.5,0.5,0,0,1,0,10
61,7,68,55,30.9,44.00%,3.9,8.8,36.50%,0.8,2.3,85.40%,1.3,1.5,3,0.4,2.5,8.9,1.2,0.1,2.2,2.1,9.8
61,8,72,54,25.7,56.80%,3.9,6.9,0.00%,0,0,78.80%,1.8,2.2,6.4,2.6,3.8,1.1,0.7,1.2,1,3.7,9.6
61,9,59,28,23.9,44.40%,3.9,8.7,27.90%,0.3,1,76.60%,1.2,1.6,2.6,0.7,1.9,1.8,0.6,0,1.5,1.5,9.2
61,10,25,25,28,46.40%,3.6,7.8,24.00%,0.2,1,70.70%,1.6,2.3,4.7,1.2,3.5,3,1,1.1,1.8,2.8,9.2
61,11,65,17,24.6,57.60%,3.3,5.7,,0,0,55.50%,1.1,2,7.1,2.6,4.5,0.6,0.6,1,0.7,2.8,7.7
61,12,6,0,14.8,42.90%,2.5,5.8,20.00%,0.5,2.5,33.30%,0.3,1,1.3,0.3,1,1.8,0.7,0.2,1.3,1.7,5.8
61,13,11,0,13.6,48.90%,2.1,4.3,30.00%,0.3,0.9,100.00%,0.6,0.6,3.1,0.7,2.4,0.6,0.3,0.3,0.7,1,5.1
61,14,24,0,11,46.50%,2,4.2,33.30%,0.4,1.1,73.30%,0.5,0.6,2.5,0.5,2,0.3,0.3,0.6,0.7,2.5,4.8
61,15,30,18,26.6,40.80%,1.4,3.4,0.00%,0,0,54.50%,1.6,2.9,11.5,4,7.5,1.3,1,0.2,1.3,3,4.4
61,16,7,0,11.6,33.30%,1.4,4.3,33.30%,0.1,0.4,87.50%,1,1.1,1,0.3,0.7,1.6,0.1,0.1,0.7,1.6,4
61,17,52,6,14.7,51.20%,1.6,3.1,20.00%,0,0.2,51.20%,0.4,0.8,2.3,0.9,1.4,1.1,0.8,0.4,0.8,0.9,3.6
61,18,43,9,12.1,52.50%,1.2,2.3,,0,0,47.70%,0.7,1.5,4.4,1.8,2.6,0.6,0.6,0.4,0.9,1.8,3.1
61,19,3,0,7.3,0.00%,0,0.7,,0,0,75.00%,2,2.7,0.3,0,0.3,1,0.3,0,0.7,1.3,2
61,20,3,0,4.3,25.00%,0.3,1.3,0.00%,0,0.3,,0,0,1,0,1,0.3,0,0,0,0.7,0.7
61,21,12,0,4.9,20.00%,0.3,1.3,,0,0,0.00%,0,0.2,1.2,0.6,0.6,0.2,0.2,0.2,0.3,0.4,0.5
62,0,31,31,33.3,43.20%,6.7,15.6,29.60%,1.1,3.7,87.30%,4.9,5.6,5.5,0.8,4.8,2,0.6,0.5,2.2,1.7,19.5
62,1,63,63,35,42.20%,6,14.3,26.10%,0.4,1.5,81.00%,4.3,5.3,3.3,0.6,2.7,2,0.8,0.3,2,2.6,16.7
62,2,42,0,22.5,43.60%,4.7,10.8,36.00%,1,2.6,83.50%,1.8,2.2,1.9,0.5,1.4,1.5,0.9,0.2,1.6,2.4,12.2
62,3,31,11,22.7,42.40%,3.8,8.9,42.30%,1.4,3.4,85.20%,2.4,2.8,2.1,0.3,1.9,3.8,0.8,0.1,1.7,2.3,11.4
62,4,53,53,33.9,45.70%,4.1,9,37.10%,1.1,3,88.20%,1.1,1.3,3,0.4,2.7,8.8,0.9,0.1,2,1.8,10.5
62,5,49,3,21.6,40.20%,3.4,8.4,34.60%,1.3,3.7,81.00%,1.7,2,4.1,0.9,3.2,0.9,0.5,0.1,1.3,2.4,9.7
62,6,17,12,27.1,38.70%,3.2,8.4,39.30%,1.4,3.6,85.30%,1.7,2,2,0.5,1.5,1.5,0.3,0.2,1.5,2.1,9.6
62,7,62,40,25.2,45.00%,3.8,8.4,31.70%,0.3,1,70.40%,1.3,1.9,4.7,1.2,3.5,2,1.1,1.4,1.6,2.9,9.1
62,8,64,43,24.3,57.60%,3.1,5.3,40.00%,0,0.1,69.00%,0.9,1.3,6.4,2.3,4,1.2,0.5,1.1,1.5,3.3,7.1
62,9,48,2,14.9,41.30%,2.3,5.6,34.90%,0.6,1.7,72.50%,1.4,1.9,2.1,0.6,1.6,1.1,0.5,0.1,1.1,1.2,6.6
62,10,66,9,23.2,51.30%,2.6,5.1,0.00%,0,0,67.00%,1.1,1.6,6.6,2,4.6,0.9,0.6,1,1,2.4,6.3
62,11,4,0,18,36.40%,2,5.5,20.00%,0.5,2.5,66.70%,1,1.5,1.8,0,1.8,2.3,0.3,0,1.5,2,5.5
62,12,16,8,22.3,35.10%,2.1,5.9,0.00%,0,0.1,57.90%,0.7,1.2,3.9,1.1,2.9,3.7,1,0.2,1.2,1.9,4.8
62,13,49,40,16.6,51.60%,1.7,3.3,,0,0,53.20%,0.5,1,5.7,1.7,4,0.6,0.4,0.3,1,2.6,3.9
62,14,34,14,13.3,30.80%,1.2,3.9,27.30%,0.6,2.3,58.30%,0.2,0.4,1.9,0.2,1.8,0.6,0.2,0.1,0.4,1.1,3.2
62,15,14,0,8.7,36.10%,0.9,2.6,,0,0,87.50%,0.5,0.6,3.4,1.1,2.3,0.2,0.1,0.6,0.4,0.8,2.4
62,16,24,0,8.7,32.10%,0.7,2.2,29.40%,0.2,0.7,80.00%,0.3,0.4,1.4,0.2,1.2,1.4,0.3,0.2,0.7,0.8,2
62,17,34,1,11,37.80%,0.5,1.3,,0,0,25.90%,0.2,0.8,3.3,0.7,2.6,0.2,0.1,0.3,0.6,1.9,1.2
63,0,33,32,34.7,42.50%,7.3,17.1,33.60%,1.3,4,85.60%,3.6,4.2,6.4,1.3,5.1,2.8,1.7,0.7,2.8,2.9,19.5
63,1,82,82,36.7,44.50%,6.7,15,28.30%,0.4,1.5,83.10%,4.3,5.2,3.9,0.6,3.3,2.5,0.9,0.3,1.8,2.1,18.1
63,2,35,25,28.7,39.90%,4.9,12.2,30.90%,1.1,3.5,84.40%,1.9,2.2,3.7,0.7,2.9,1.1,0.6,0.7,1.5,1.8,12.7
63,3,68,52,29.8,40.10%,3.7,9.2,36.20%,1.5,4.1,79.50%,2.8,3.5,4.7,0.8,3.9,6.4,1.4,0.4,2.3,3.2,11.6
63,4,45,30,28.3,47.00%,4.2,8.8,42.90%,1.8,4.1,90.40%,1,1.2,2.4,0.3,2,7.4,0.6,0.1,1.7,1.3,11.1
63,5,65,2,23,38.30%,3.6,9.5,33.30%,1.5,4.4,85.70%,1.9,2.3,2.3,0.5,1.8,1.6,0.7,0.1,1.2,2,10.7
63,6,81,38,28.7,55.40%,4.1,7.5,38.50%,0.1,0.2,72.70%,1.7,2.3,7.5,2.8,4.7,1.5,1,1.4,1.4,3.7,10
63,7,45,24,24.2,54.90%,4.1,7.5,,0,0,64.70%,1.5,2.3,6.7,2.1,4.6,1.2,0.6,0.8,1,2.5,9.7
63,8,62,57,23.9,55.70%,3.3,5.9,,0,0,78.90%,2.4,3,6,2,4,0.7,0.3,1.3,1.5,3,8.9
63,9,20,3,18.8,33.30%,2.4,7.2,30.30%,1,3.3,84.20%,1.6,1.9,2.6,0.5,2.1,0.8,0.2,0.1,0.7,2.3,7.4
63,10,73,2,17,40.70%,2.5,6.3,33.20%,0.9,2.7,71.40%,0.4,0.6,2,0.5,1.5,0.7,0.6,0.2,0.7,1.7,6.4
63,11,63,0,13.1,38.60%,2,5.3,37.70%,0.9,2.4,72.00%,0.3,0.4,1,0.1,0.9,1.7,0.4,0,0.4,0.8,5.3
63,12,19,16,20.4,34.70%,1.8,5.2,31.30%,1.1,3.4,66.70%,0.6,0.9,1.9,0.3,1.6,0.5,0.6,0.3,0.8,1.7,5.3
63,13,51,22,20.3,45.70%,2,4.4,14.30%,0,0.3,64.20%,0.7,1,4.1,1.2,2.9,1.2,0.6,0.2,0.8,1.2,4.7
63,14,13,0,14.2,29.00%,1.4,4.8,27.00%,0.8,2.8,83.30%,0.8,0.9,1.2,0.1,1.2,3,0.7,0.1,0.8,1.5,4.3
63,15,29,0,11.8,56.00%,1.4,2.6,50.00%,0,0.1,81.60%,1.1,1.3,2.7,1,1.6,0.4,0.4,0.5,0.6,1.8,4
63,16,42,16,12.3,53.30%,1.1,2.1,,0,0,52.30%,0.5,1,3.2,1.1,2,0.8,0.2,0.1,0.9,2,2.8
63,17,15,9,15.3,46.90%,1,2.1,,0,0,33.30%,0.1,0.4,3.2,0.7,2.5,0.7,0.3,0.5,0.5,1.7,2.1
64,0,79,79,38.2,42.90%,7.6,17.8,30.50%,0.8,2.7,82.40%,6.6,8,4.3,0.6,3.7,4,1.1,0.4,2.2,2.5,22.7
64,1,18,18,35.4,38.80%,7.2,18.6,37.30%,1.2,3.3,77.30%,3.8,4.9,7.4,1.6,5.8,2.2,1.6,1.3,3.3,2.6,19.4
64,2,79,79,36.2,42.30%,5.8,13.7,38.00%,2.4,6.3,81.30%,4,4.9,4.7,1.1,3.6,7.4,1.5,0.2,2.5,3.4,17.9
64,3,81,81,28.2,53.10%,4.4,8.3,0.00%,0,0,76.20%,2.4,3.2,8.8,2.8,6,0.7,0.3,0.9,1.7,3.1,11.3
64,4,81,62,26.6,42.30%,3.9,9.3,39.50%,2,5,83.70%,1,1.2,3.1,0.5,2.6,1,0.8,0.3,1.1,2.3,10.9
64,5,77,72,28.8,56.20%,4.5,7.9,30.30%,0.3,0.9,63.60%,1.2,1.9,6.6,2.2,4.3,1.5,0.7,1.1,1.6,3.5,10.4
64,6,61,5,21.5,41.70%,3.5,8.3,38.90%,1.5,3.9,85.50%,1.1,1.2,2.3,0.2,2,3.7,0.4,0.1,1.7,1.7,9.5
64,7,48,7,23.3,47.70%,3.6,7.6,41.10%,1,2.3,74.50%,0.9,1.1,5.1,1.7,3.3,1.3,0.9,0.7,1,2.5,9.1
64,8,60,0,21.3,36.80%,1.8,4.9,38.80%,0.8,2,73.30%,0.6,0.8,2,0.2,1.8,1.7,0.6,0.2,0.7,1.5,5
64,9,64,4,15.3,47.40%,1.5,3.1,0.00%,0,0,68.10%,2,2.9,4.5,1.9,2.6,0.3,0.4,0.3,0.7,2.1,4.9
64,10,54,1,10,41.10%,1.1,2.7,42.60%,1,2.3,100.00%,0.1,0.1,1.1,0.1,0.9,0.2,0.2,0.1,0.1,0.8,3.3
64,11,21,0,9.3,36.70%,1,2.9,36.40%,0.4,1,100.00%,0.6,0.6,1.3,0.4,1,1.6,0.3,0.1,0.7,1.1,3.1
64,12,14,0,10.5,31.30%,1.1,3.4,29.40%,0.4,1.2,88.90%,0.6,0.6,1.6,0.3,1.4,0.7,0.6,0,0.7,0.8,3.1
64,13,7,0,8.9,42.90%,0.9,2,40.00%,0.3,0.7,62.50%,0.7,1.1,2.1,0.7,1.4,0.6,0.6,0.4,0.3,1.1,2.7
64,14,30,2,10.7,40.30%,0.9,2.2,0.00%,0,0.2,63.60%,0.5,0.7,2,0.5,1.5,0.7,0.3,0.1,0.4,0.8,2.3
64,15,45,0,12.8,42.90%,0.9,2.2,0.00%,0,0,83.30%,0.3,0.4,3.6,1.1,2.5,0.6,0.5,0.2,0.6,1.7,2.2
64,16,10,0,8.1,29.20%,0.7,2.4,9.10%,0.1,1.1,100.00%,0.6,0.6,0.4,0,0.4,1,0.1,0,0.9,0.7,2.1
64,17,4,0,4.8,66.70%,0.5,0.8,,0,0,50.00%,0.3,0.5,2,0.8,1.3,0.8,0,0,1,1.8,1.3
64,18,8,0,4.1,23.10%,0.4,1.6,0.00%,0,1,66.70%,0.3,0.4,0.9,0.3,0.6,0.3,0,0,0,0.5,1
64,19,21,0,5.7,41.20%,0.3,0.8,25.00%,0.1,0.4,66.70%,0.1,0.1,1,0.1,0.9,0.6,0.1,0,0.2,0.6,0.9
65,0,60,60,35,41.30%,6.8,16.5,28.40%,0.4,1.5,83.20%,6,7.2,4.6,0.7,3.9,3.5,1.2,0.2,2.3,2,20.1
65,1,70,70,34.6,41.20%,6.1,14.9,33.80%,1.9,5.6,80.80%,3.6,4.5,4.7,0.8,3.9,6.8,1.6,0.2,2.5,3,17.8
65,2,80,0,25.2,40.40%,4.7,11.6,34.00%,1.9,5.6,86.10%,4.3,4.9,1.9,0.3,1.6,2.1,1.1,0.1,1.3,1.3,15.5
65,3,80,80,26.2,57.20%,4.7,8.2,0.00%,0,0,78.60%,2.7,3.5,8.7,2.7,6,0.5,0.4,1.2,1.4,2.8,12
65,4,82,61,25.5,41.00%,3.8,9.2,37.20%,1.8,4.8,78.60%,0.5,0.7,2.8,0.4,2.4,1,0.6,0.3,0.8,1.7,9.8
65,5,82,29,24.3,40.80%,3.6,8.8,37.90%,1.6,4.3,75.80%,0.6,0.8,2.6,0.3,2.4,3.7,0.6,0.1,1.5,2.2,9.5
65,6,75,72,26.4,57.40%,4,6.9,41.30%,0.3,0.6,61.20%,1.1,1.7,6.1,2.1,4,1.6,0.6,0.8,1.5,3,9.3
65,7,81,4,26.7,44.90%,3,6.6,37.10%,1.3,3.5,78.80%,0.8,1,5.3,1.6,3.8,1.9,0.7,0.5,0.7,1.8,8
65,8,70,17,19.5,58.90%,3.4,5.8,21.60%,0.2,0.7,65.70%,1,1.5,3.7,0.9,2.8,1.4,0.8,1,1.1,2.2,7.9
65,9,74,8,14.3,52.10%,1.2,2.2,14.30%,0,0.1,69.80%,1.3,1.9,3.6,1.4,2.1,0.3,0.4,0.2,0.3,1.9,3.6
65,10,26,9,8.3,48.80%,0.8,1.6,50.00%,0,0.1,83.30%,0.2,0.2,1,0.4,0.6,0.6,0.4,0,0.3,0.3,1.8
65,11,29,0,8.8,47.80%,0.8,1.6,,0,0,54.50%,0.2,0.4,1.8,0.6,1.1,0.7,0.3,0.1,0.3,1.3,1.7
65,12,8,0,3,33.30%,0.5,1.5,66.70%,0.3,0.4,,0,0,0.3,0.1,0.1,0,0,0.1,0.5,0.4,1.3
65,13,6,0,4,25.00%,0.3,1.3,,0,0,50.00%,0.3,0.7,1.8,0.3,1.5,0.2,0.3,0,0.3,1,1
65,14,17,0,3.9,75.00%,0.4,0.5,,0,0,50.00%,0.1,0.2,0.9,0.5,0.4,0.2,0.1,0,0.4,0.9,0.8
66,0,78,78,35.9,44.60%,7.9,17.7,33.80%,0.6,1.8,85.00%,7.1,8.4,4.5,0.8,3.7,4,1,0.3,2.2,2.1,23.5
66,1,77,77,37.1,42.70%,6.6,15.6,38.80%,2.8,7.1,81.10%,5.2,6.4,4.7,0.7,4,6.4,2.1,0.4,2.9,2.7,21.2
66,2,60,59,26,56.50%,5.1,8.9,,0,0,76.10%,2.7,3.6,9.1,3.1,6.1,0.7,0.4,1.3,1.4,2.6,12.8
66,3,26,22,30.3,38.90%,4,10.4,39.00%,1.8,4.5,60.00%,1.2,1.9,4.7,1.2,3.5,1,1.7,0.2,1.1,2.4,11
66,4,73,7,24,43.10%,3.7,8.6,38.60%,1.8,4.6,79.00%,0.7,0.8,2.5,0.3,2.2,0.8,0.7,0.3,0.6,1.6,9.9
66,5,76,76,21.5,45.00%,3.5,7.9,40.40%,0.9,2.1,72.60%,0.8,1.1,4.7,1.1,3.6,0.9,0.6,0.4,0.9,2.3,8.7
66,6,80,4,25.7,43.90%,3.2,7.3,27.30%,0.4,1.4,76.40%,1.7,2.2,2.6,0.5,2.1,3.1,0.8,0.3,1.3,1.6,8.5
66,7,79,0,25.5,41.40%,2.6,6.2,36.20%,1.3,3.7,85.30%,0.4,0.4,4.3,1,3.4,1.2,0.7,0.4,0.8,1.6,6.9
66,8,49,24,14.9,42.40%,2,4.7,40.40%,0.7,1.8,81.10%,0.9,1.1,2.3,0.3,1.9,1,0.6,0.2,0.7,1.2,5.6
66,9,82,22,22.1,54.20%,1.9,3.5,0.00%,0,0,62.80%,1.7,2.8,8,2.2,5.8,0.4,0.2,1.6,0.9,2.7,5.5
66,10,57,32,16.2,47.50%,2,4.2,30.30%,0.4,1.2,57.40%,0.7,1.2,2.2,0.5,1.7,1.2,0.5,0.6,0.9,1.5,5
66,11,19,6,15.4,48.50%,1.7,3.5,33.30%,0.3,0.8,81.80%,0.9,1.2,4.2,1.2,3.1,0.5,0.4,0.6,0.4,2.1,4.6
66,12,27,1,8.5,45.00%,1.3,3,38.50%,0.2,0.5,74.30%,1,1.3,1.4,0.3,1.1,1.1,0.3,0.1,0.6,0.3,3.8
66,13,29,1,7.8,63.60%,1,1.5,33.30%,0,0.1,53.30%,0.3,0.5,1.6,0.6,1,0.2,0.4,0.4,0.4,1,2.2
66,14,19,0,4.5,29.60%,0.4,1.4,21.40%,0.2,0.7,90.00%,0.5,0.5,1.2,0.3,0.9,0,0.3,0,0.2,0.4,1.5
66,15,6,1,7.2,8.30%,0.2,2,14.30%,0.2,1.2,,0,0,0.3,0.2,0.2,0.2,0.3,0.2,0.7,0.3,0.5
67,0,74,74,35.4,46.70%,9.7,20.9,26.60%,0.4,1.7,84.20%,7.4,8.7,5.2,0.9,4.3,3.9,1.1,0.2,2.4,1.8,27.3
67,1,60,60,37.4,46.40%,7.1,15.3,41.20%,3.2,7.8,81.90%,5,6.1,4.8,0.8,4,7,1.5,0.3,2.9,2.8,22.4
67,2,23,23,31,45.90%,5.6,12.1,39.80%,1.8,4.5,88.20%,1.3,1.5,6.8,1.3,5.5,0.7,0.3,1.4,1.7,3.3,14.2
67,3,80,80,25.8,55.70%,4.9,8.8,50.00%,0,0,81.10%,2.2,2.7,9.5,2.8,6.7,0.7,0.5,0.8,1.3,2.7,12
67,4,54,0,22.3,44.10%,3.9,8.9,37.50%,1.8,4.7,82.00%,0.8,0.9,2.6,0.3,2.3,0.8,1,0.4,0.6,1.5,10.4
67,5,80,22,25.1,45.20%,3.7,8.3,35.60%,0.6,1.7,77.00%,1.2,1.5,2.9,0.6,2.3,3.3,0.8,0.2,1.4,1.8,9.3
