Id,客场队名,主场队名,客场本场前战绩,主场本场前战绩,比分（客场:主场）,sub,obj,result
1951,4,163,30胜18负,27胜20负,93:99,99,93,1
1952,191,163,35胜12负,28胜21负,102:101,101,102,0
1953,163,170,29胜23负,17胜32负,83:85,85,83,1
1954,44,163,20胜33负,29胜27负,115:110,110,115,0
1955,163,107,29胜28负,20胜36负,110:96,96,110,1
1956,121,163,32胜25负,30胜28负,113:117,117,113,1
1957,205,163,35胜23负,31胜28负,101:74,74,101,1
1958,163,37,32胜30负,25胜34负,108:100,100,108,0
1959,51,163,13胜52负,34胜33负,89:102,102,89,0
1960,198,163,37胜30负,35胜33负,72:74,74,72,1
1961,163,184,36胜33负,46胜22负,117:102,102,117,0
1962,170,163,25胜45负,38胜33负,108:99,99,108,1
1963,121,163,41胜32负,38胜35负,109:97,97,109,1
1964,163,128,38胜36负,47胜25负,86:109,109,86,0
1965,135,163,34胜41负,38胜38负,85:87,87,85,1
1966,163,72,39胜38负,57胜19负,69:96,96,69,1
1967,163,205,39胜41负,54胜26负,91:107,107,91,0
1968,149,163,55胜26负,39胜42负,112:101,101,112,0
1969,129,164,1胜0负,0胜1负,92:110,110,92,0
1970,164,122,3胜3负,3胜3负,103:124,124,103,1
1971,150,164,5胜3负,3胜4负,104:118,118,104,1
1972,157,164,2胜8负,5胜4负,101:120,120,101,1
1973,164,108,6胜5负,6胜6负,114:107,107,114,0
1974,199,164,3胜11负,7胜7负,120:114,114,120,0
1975,143,164,16胜0负,7胜8负,135:116,116,135,0
1976,164,101,8胜11负,7胜9负,106:109,109,106,1
1977,164,192,8胜12负,11胜9负,93:95,95,93,1
1978,164,5,8胜13负,11胜6负,103:101,101,103,0
1979,94,164,12胜9负,9胜13负,104:107,107,104,1
1980,129,164,9胜14负,10胜13负,106:96,96,106,1
1981,115,164,9胜13负,10胜14负,101:108,108,101,1
1982,164,143,11胜15负,24胜1负,103:128,128,103,1
1983,199,164,7胜18负,11胜16负,88:104,104,88,0
1984,33,164,10胜18负,12胜16负,101:95,95,101,1
1985,164,136,12胜17负,11胜14负,89:110,110,89,0
1986,108,164,11胜17负,12胜18负,104:96,96,104,1
1987,164,206,12胜21负,27胜6负,79:112,112,79,0
1988,164,122,12胜22负,22胜10负,106:110,110,106,1
1989,164,171,12胜23负,12胜20负,119:142,142,119,1
1990,164,157,12胜24负,7胜27负,77:97,97,77,1
1991,164,115,13胜28负,12胜29负,87:117,117,87,0
1992,73,164,26胜18负,13胜31负,95:98,98,95,1
1993,164,12,14胜32负,31胜12负,93:115,115,93,0
1994,164,52,14胜33负,22胜26负,84:102,102,84,0
1995,66,164,32胜16负,14胜35负,104:97,97,104,1
1996,185,164,26胜25负,14胜36负,111:105,105,111,0
1997,136,164,24胜25负,14胜37负,98:89,89,98,0
1998,122,164,38胜14负,14胜38负,122:106,106,122,0
1999,164,94,15胜46负,27胜33负,102:84,84,102,1
2000,164,192,16胜46负,37胜24负,109:100,100,109,0
2001,52,164,26胜39负,17胜46负,128:97,97,128,1
2002,164,108,17胜47负,26胜38负,98:116,116,98,0
2003,192,164,40胜30负,19胜50负,103:97,97,103,1
2004,157,164,15胜55负,19胜51负,107:119,119,107,1
2005,164,171,20胜51负,27胜44负,94:116,116,94,0
2006,45,164,42胜30负,20胜52负,102:99,99,102,1
2007,164,33,20胜54负,30胜44负,94:105,105,94,0
2008,136,164,38胜38负,20胜56负,101:86,86,101,1
2009,164,185,20胜58负,38胜40负,124:115,115,124,0
2010,150,164,53胜28负,22胜59负,105:114,114,105,1
2011,165,151,0胜3负,2胜0负,98:116,116,98,0
2012,165,200,1胜4负,0胜5负,112:111,111,112,0
2013,165,158,2胜4负,3胜3负,108:119,119,108,1
2014,20,165,4胜3负,2胜6负,100:107,107,100,1
2015,39,165,3胜5负,3胜6负,122:104,104,122,0
2016,165,109,3胜8负,3胜7负,104:120,120,104,1
2017,165,60,4胜9负,2胜10负,105:120,120,105,1
2018,165,95,4胜11负,6胜8负,92:87,87,92,0
2019,109,165,6胜10负,5胜12负,120:114,114,120,0
2020,74,165,10胜8负,5胜13负,107:109,109,107,1
2021,165,144,6胜13负,16胜3负,109:138,138,109,1
2022,165,137,6胜14负,13胜9负,105:112,112,105,1
2023,27,165,10胜11负,6胜15负,109:94,94,109,1
2024,165,158,6胜16负,10胜14负,119:115,115,119,0
2025,53,165,14胜10负,7胜17负,111:113,113,111,1
2026,207,165,20胜5负,8胜17负,107:92,92,107,1
2027,165,116,8胜19负,7胜19负,108:115,115,108,1
2028,186,165,21胜8负,8胜20负,125:111,111,125,0
2029,60,165,7胜21负,8胜21负,116:123,123,116,1
2030,165,186,9胜21负,22胜9负,115:131,131,115,1
2031,165,207,9胜22负,25胜6负,98:119,119,98,0
2032,67,165,22胜9负,9胜23负,91:99,99,91,1
2033,88,165,10胜25负,10胜25负,90:99,99,90,1
2034,165,179,11胜25负,11胜24负,102:95,95,102,1
2035,13,165,27胜8负,12胜25负,120:116,116,120,0
2036,207,165,31胜8负,12胜27负,105:108,108,105,1
2037,165,67,14胜29负,28胜15负,115:103,103,115,0
2038,109,165,20胜25负,15胜31负,123:112,112,123,0
2039,151,165,30胜18负,15胜33负,124:114,114,124,0
2040,34,165,21胜28负,16胜34负,137:112,112,137,0
2041,165,200,16胜35负,19胜32负,106:111,111,106,1
2042,6,165,26胜27负,16胜37负,97:115,115,97,0
2043,165,186,17胜37负,39胜17负,102:133,133,102,1
2044,200,165,21胜34负,17胜38负,110:108,108,110,0
2045,158,165,19胜38负,17胜39负,101:137,137,101,1
2046,165,6,18胜39负,28胜29负,121:128,128,121,1
2047,165,34,18胜40负,25胜31负,96:100,100,96,0
2048,46,165,40胜22负,20胜42负,106:109,109,106,1
2049,102,165,37胜24负,21胜42负,131:127,127,131,0
2050,130,165,28胜36负,22胜44负,110:101,101,110,0
2051,95,165,24胜45负,22胜46负,109:103,103,109,0
2052,165,20,22胜47负,33胜36负,95:112,112,95,0
2053,165,74,22胜52负,37胜36负,91:95,95,91,1
2054,186,165,51胜25负,22胜55负,123:116,116,123,0
2055,14,0,0胜2负,0胜1负,91:101,101,91,0
2056,124,0,3胜0负,1胜1负,98:110,110,98,0
2057,47,0,1胜2负,2胜1负,120:112,112,120,0
2058,0,40,2胜2负,4胜1负,105:110,110,105,1
2059,103,0,4胜2负,2胜3负,92:94,94,92,1
2060,138,0,6胜2负,3胜3负,90:120,120,90,0
2061,96,0,2胜5负,4胜3负,96:103,103,96,0
2062,0,180,5胜3负,3胜6负,95:92,92,95,0
2063,0,173,6胜4负,7胜3负,88:83,83,88,0
2064,0,103,8胜5负,8胜6负,97:98,98,97,1
2065,89,0,13胜4负,9胜6负,107:78,78,107,1
2066,0,40,9胜7负,14胜4负,92:104,104,92,0
2067,180,0,7胜12负,9胜8负,116:119,119,116,1
2068,117,0,14胜7负,10胜8负,90:99,99,90,1
2069,0,7,11胜8负,7胜14负,88:83,83,88,0
2070,110,0,6胜17负,13胜8负,82:113,113,82,0
2071,21,0,11胜11负,14胜8负,73:92,92,73,1
2072,145,0,6胜21负,16胜8负,100:99,99,100,1
2073,0,47,18胜9负,17胜12负,95:103,103,95,0
2074,0,14,18胜10负,10胜19负,95:92,92,95,0
2075,28,0,12胜17负,19胜10负,77:90,90,77,1
2076,7,0,8胜24负,21胜10负,91:100,100,91,0
2077,61,0,11胜22负,22胜10负,91:111,111,91,0
2078,40,0,28胜7负,23胜12负,79:90,90,79,1
2079,0,21,25胜13负,16胜20负,99:86,86,99,0
2080,89,0,30胜16负,31胜14负,90:99,99,90,1
2081,0,145,33胜14负,19胜28负,106:88,88,106,1
2082,0,124,34胜15负,27胜24负,103:109,109,103,1
2083,0,194,35胜16负,33胜22负,97:88,88,97,0
2084,0,96,40胜17负,15胜43负,105:77,77,105,1
2085,0,68,41胜17负,36胜24负,80:83,83,80,1
2086,131,0,34胜32负,46胜18负,100:118,118,100,1
2087,96,0,16胜49负,47胜18负,79:98,98,79,1
2088,0,21,49胜18负,29胜39负,108:115,115,108,1
2089,0,68,50胜19负,40胜30负,114:81,81,114,1
2090,0,14,54胜20负,26胜48负,101:96,96,101,1
2091,61,0,20胜54负,55胜20负,106:113,113,106,1
2092,40,0,54胜23负,57胜20负,81:97,97,81,1
2093,0,89,59胜20负,50胜29负,102:99,99,102,1
2094,21,0,0胜0负,0胜0负,99:104,104,99,0
2095,21,0,0胜1负,1胜0负,90:96,96,90,1
2096,68,0,0胜0负,0胜0负,103:95,95,103,1
2097,0,68,2胜1负,1胜2负,88:100,100,88,0
2098,68,0,2胜2负,2胜2负,83:95,95,83,1
2099,0,82,1胜2负,2胜1负,93:101,101,93,0
2100,1,167,1胜1负,1胜1负,108:98,98,108,1
2101,1,146,2胜1负,1胜1负,114:101,101,114,0
2102,188,1,1胜2负,3胜1负,64:104,104,64,0
2103,1,90,6胜1负,5胜2负,97:83,83,97,0
2104,97,1,1胜8负,9胜2负,64:78,78,64,1
2105,1,41,10胜2负,4胜5负,88:79,79,88,0
2106,1,8,13胜3负,6胜7负,114:75,75,114,1
2107,22,1,11胜5负,16胜3负,95:90,90,95,0
2108,29,1,7胜10负,16胜4负,100:107,107,100,1
2109,1,97,17胜5负,4胜16负,98:88,88,98,0
2110,1,29,19胜6负,10胜12负,113:90,90,113,1
2111,1,41,23胜6负,14胜12负,91:95,95,91,1
2112,29,1,13胜19负,26胜8负,91:110,110,91,0
2113,195,1,8胜25负,27胜8负,95:99,99,95,1
2114,1,8,29胜8负,13胜20负,112:91,91,112,1
2115,1,55,30胜8负,22胜15负,96:91,91,96,0
2116,132,1,19胜20负,33胜9负,97:111,111,97,0
2117,48,1,18胜23负,34胜9负,99:104,104,99,0
2118,125,1,20胜23负,36胜9负,100:89,89,100,1
2119,55,1,25胜19负,36胜10负,80:89,89,80,1
2120,1,90,37胜10负,29胜17负,85:59:00,59,85,0
2121,1,62,38胜10负,15胜31负,94:82,82,94,0
2122,104,1,26胜23负,40胜10负,108:91,91,108,1
2123,1,118,42胜11负,39胜12负,78:92,92,78,1
2124,181,1,28胜25负,42胜12负,99:93,93,99,0
2125,41,1,30胜23负,42胜13负,86:93,93,86,1
2126,83,1,40胜16负,44胜14负,86:96,96,86,1
2127,97,1,14胜46负,46胜14负,87:84,84,87,0
2128,1,83,47胜15负,44胜17负,72:83,83,72,1
2129,1,22,48胜16负,42胜23负,92:87,87,92,0
2130,55,1,3胜1负,1胜3负,69:77,77,69,1
2131,2,9,1胜0负,1胜0负,115:86,86,115,1
2132,91,2,2胜0负,2胜1负,93:99,99,93,1
2133,119,2,2胜2负,3胜1负,97:91,91,97,0
2134,2,147,5胜3负,6胜2负,80:101,101,80,0
2135,2,182,5胜5负,4胜7负,89:93,93,89,1
2136,2,30,5胜6负,6胜4负,93:86,86,93,0
2137,175,2,7胜8负,6胜7负,78:101,101,78,0
2138,2,9,8胜8负,4胜14负,95:85,85,95,0
2139,2,16,9胜8负,6胜14负,108:104,104,108,0
2140,147,2,14胜6负,11胜8负,94:89,89,94,0
2141,2,49,14胜10负,19胜6负,110:106,106,110,0
2142,2,70,15胜10负,15胜9负,75:92,92,75,1
2143,30,2,17胜16负,19胜13负,104:96,96,104,1
2144,2,49,19胜14负,23胜12负,108:101,101,108,0
2145,161,2,12胜26负,20胜14负,97:81,81,97,0
2146,2,42,22胜15负,20胜18负,100:99,99,100,1
2147,154,2,17胜23负,23胜16负,83:95,95,83,1
2148,2,98,26胜16负,10胜31负,73:86,86,73,1
2149,2,30,27胜17负,24胜19负,104:88,88,104,1
2150,2,35,28胜17负,27胜19负,89:93,93,89,1
2151,2,70,28胜18负,26胜19负,93:76,76,93,0
2152,2,23,29胜18负,28胜19负,101:111,111,101,1
2153,2,133,29胜20负,28胜22负,93:89,89,93,0
2154,203,2,40胜12负,30胜20负,103:89,89,103,1
2155,2,119,32胜23负,40胜15负,72:102,102,72,0
2156,9,2,18胜38负,32胜24负,101:98,98,101,1
2157,56,2,22胜33负,32胜25负,82:93,93,82,1
2158,35,2,34胜25负,33胜25负,85:96,96,85,1
2159,2,154,35胜27负,32胜31负,81:90,90,81,1
2160,2,168,35胜28负,22胜43负,79:121,121,79,0
2161,105,2,45胜22负,36胜29负,119:118,118,119,0
2162,126,2,31胜36负,36胜30负,99:89,89,99,0
2163,23,2,43胜26负,36胜31负,84:87,87,84,1
2164,2,112,37胜31负,24胜43负,104:97,97,104,1
2165,2,175,39胜31负,35胜37负,98:100,100,98,0
2166,16,2,24胜49负,39胜32负,94:95,95,94,1
2167,2,35,40胜33负,43胜31负,92:90,90,92,0
2168,91,2,19胜57负,41胜33负,86:87,87,86,1
2169,2,16,42胜33负,25胜52负,85:99,99,85,1
2170,49,2,51胜26负,42胜35负,111:118,118,111,1
2171,2,91,43胜37负,20胜60负,102:84,84,102,1
2172,98,2,29胜52负,44胜37负,92:95,95,92,1
2173,2,35,0胜0负,0胜0负,89:106,106,89,0
2174,35,2,1胜1负,1胜1负,76:79,79,76,1
2175,35,2,1胜2负,2胜1负,134:142,142,134,1
2176,2,35,3胜3负,3胜3负,99:93,93,99,0
2177,84,2,2胜1负,1胜2负,88:65,65,88,0
2178,50,3,1胜0负,0胜1负,81:82,82,81,1
2179,3,24,1胜2负,4胜0负,80:97,97,80,1
2180,134,3,0胜5负,1胜3负,73:97,97,73,1
2181,10,3,3胜4负,2胜3负,81:96,96,81,1
2182,3,64,3胜3负,4胜5负,96:80,80,96,0
2183,24,3,9胜0负,4胜3负,94:110,110,94,0
2184,3,106,6胜3负,4胜6负,87:97,97,87,1
2185,3,127,6胜4负,10胜2负,95:98,98,95,1
2186,3,148,6胜5负,9胜5负,82:121,121,82,0
2187,3,134,6胜6负,1胜14负,83:89,89,83,1
2188,3,17,6胜7负,6胜8负,99:79,79,99,0
2189,197,3,8胜8负,7胜8负,131:128,128,131,0
2190,17,3,9胜10负,8胜9负,92:75,75,92,0
2191,3,31,8胜12负,5胜17负,91:90,90,91,0
2192,64,3,8胜13负,9胜12负,99:77,77,99,0
2193,10,3,10胜15负,9胜16负,84:100,100,84,0
2194,3,190,11胜17负,13胜16负,95:91,91,95,0
2195,64,3,13胜15负,12胜17负,85:79,79,85,0
2196,71,3,18胜15负,13胜18负,84:91,91,84,1
2197,3,31,15胜18负,7胜27负,81:72,72,81,0
2198,99,3,16胜19负,17胜18负,102:88,88,102,1
2199,3,92,17胜19负,10胜28负,128:125,125,128,0
2200,155,3,16胜25负,19胜20负,100:102,102,100,1
2201,3,10,20胜20负,15胜26负,98:87,87,98,0
2202,148,3,29胜15负,21胜20负,112:95,95,112,1
2203,3,204,22胜22负,33胜12负,96:86,86,96,0
2204,3,197,23胜22负,19胜26负,79:88,88,79,1
2205,3,155,24胜25负,18胜32负,92:86,86,92,0
2206,36,3,24胜26负,26胜25负,76:92,92,76,1
2207,106,3,25胜28负,28胜25负,89:117,117,89,0
2208,3,71,29胜26负,26胜29负,107:103,103,107,0
2209,50,3,21胜38负,32胜26负,90:109,109,90,0
2210,3,36,33胜26负,28胜29负,80:96,96,80,1
2211,190,3,34胜26负,34胜27负,85:77,77,85,0
2212,85,3,43胜16负,34胜28负,88:95,95,88,1
2213,204,3,46胜16负,35胜28负,104:96,96,104,1
2214,183,3,44胜20负,35胜29负,87:111,111,87,0
2215,120,3,48胜18负,37胜29负,97:85,85,97,0
2216,3,24,38胜30负,50胜18负,79:91,91,79,1
2217,57,3,15胜54负,38胜31负,81:91,91,81,1
2218,127,3,46胜27负,40胜31负,91:74,74,91,0
2219,3,113,45胜32负,39胜38负,102:87,87,102,1
2220,17,3,29胜50负,46胜32负,98:106,106,98,0
2221,3,50,47胜32负,34胜45负,89:100,100,89,0
2222,99,3,0胜0负,0胜0负,102:93,93,102,1
2223,99,3,1胜0负,0胜1负,101:99,99,101,1
2224,99,3,3胜1负,1胜3负,75:69,69,75,0
2225,4,51,0胜0负,0胜0负,104:80,80,104,1
2226,93,4,0胜3负,2胜1负,90:98,98,90,1
2227,44,4,2胜3负,5胜1负,106:101,101,106,0
2228,18,4,2胜4负,5胜2负,91:102,102,91,0
2229,25,4,3胜7负,7胜2负,99:90,90,99,0
2230,4,149,7胜3负,5胜3负,105:89,89,105,1
2231,4,128,8胜4负,8胜3负,87:105,105,87,0
2232,4,135,8胜5负,5胜9负,97:95,95,97,0
2233,4,107,9胜5负,6胜7负,109:114,114,109,1
2234,4,37,10胜6负,6胜8负,102:84,84,102,1
2235,142,4,16胜2负,12胜7负,112:102,102,112,0
2236,128,4,17胜5负,13胜8负,106:115,115,106,1
2237,4,72,15胜8负,16胜7负,86:93,93,86,1
2238,51,4,5胜22负,15胜9负,97:103,103,97,0
2239,4,191,16胜9负,21胜4负,103:97,97,103,1
2240,4,100,18胜9负,19胜7负,99:91,91,99,0
2241,198,4,15胜14负,20胜9负,100:107,107,100,1
2242,44,4,11胜19负,23胜10负,104:109,109,104,1
2243,184,4,23胜10负,24胜10负,105:114,114,105,1
2244,135,4,12胜23负,25胜10负,97:77,77,97,0
2245,4,100,25胜11负,24胜11负,86:102,102,86,0
2246,93,4,13胜27负,26胜12负,120:114,114,120,0
2247,4,11,27胜15负,21胜20负,94:108,108,94,0
2248,205,4,27胜16负,27胜16负,81:104,104,81,0
2249,4,156,30胜17负,12胜34负,118:123,123,118,1
2250,4,184,30胜19负,33胜15负,90:101,101,90,0
2251,4,93,31胜20负,16胜37负,98:97,97,98,0
2252,4,18,34胜20负,21胜33负,91:100,100,91,0
2253,114,4,13胜43负,36胜22负,89:96,96,89,1
2254,149,4,38胜21负,37胜22负,96:86,86,96,0
2255,100,4,34胜26负,37胜23负,92:97,97,92,1
2256,121,4,34胜27负,38胜23负,105:108,108,105,1
2257,4,25,39胜23负,26胜34负,84:98,98,84,1
2258,4,121,40胜27负,36胜29负,100:109,109,100,1
2259,25,4,30胜36负,40胜28负,86:103,103,86,0
2260,65,4,41胜27负,41胜28负,92:108,108,92,0
2261,4,65,43胜29负,42胜29负,116:103,103,116,0
2262,4,32,45胜29负,36胜38负,91:95,95,91,1
2263,18,4,29胜46负,45胜30负,82:88,88,82,1
2264,4,93,46胜31负,24胜53负,103:105,105,103,1
2265,4,37,48胜32负,37胜43负,113:86,86,113,1
2266,72,4,60胜21负,49胜32负,85:91,91,85,1
2267,32,4,0胜0负,0胜0负,91:103,103,91,0
2268,4,32,2胜0负,0胜2负,113:106,106,113,0
2269,4,32,3胜0负,0胜3负,90:92,92,90,1
2270,32,4,1胜3负,3胜1负,94:88,88,94,0
2271,4,32,3胜2负,2胜3负,120:66,66,120,1
2272,4,11,0胜0负,0胜0负,99:92,92,99,0
2273,4,11,1胜0负,0胜1负,91:106,106,91,0
2274,11,4,1胜1负,1胜1负,96:99,99,96,1
2275,4,11,2胜2负,2胜2负,101:106,106,101,1
2276,12,5,0胜0负,0胜0负,95:97,97,95,1
2277,5,38,1胜0负,0胜0负,115:100,100,115,0
2278,5,19,2胜0负,2胜0负,94:98,98,94,1
2279,115,5,2胜2负,4胜2负,102:93,93,102,1
2280,5,164,7胜3负,6胜4负,103:97,97,103,1
2281,5,143,8胜3负,13胜0负,94:106,106,94,0
2282,5,26,9胜4负,9胜5负,92:104,104,92,0
2283,206,5,14胜3负,9胜5负,89:92,92,89,1
2284,108,5,6胜12负,10胜5负,90:99,99,90,1
2285,5,45,11胜7负,12胜9负,100:105,105,100,1
2286,199,5,6胜16负,12胜8负,94:98,98,94,1
2287,192,5,14胜12负,14胜8负,85:98,98,85,1
2288,19,5,15胜12负,15胜8负,147:144,144,147,0
2289,5,52,15胜9负,13胜14负,91:107,107,91,0
2290,5,122,15胜11负,20胜9负,105:96,96,105,1
2291,26,5,18胜12负,17胜12负,100:102,102,100,1
2292,52,5,15胜18负,18胜12负,81:108,108,81,0
2293,5,66,19胜12负,21胜13负,115:113,113,115,0
2294,33,5,14胜22负,20胜12负,106:117,117,106,1
2295,5,73,22胜12负,22胜15负,105:120,120,105,1
2296,101,5,16胜19负,22胜13负,114:100,100,114,0
2297,178,5,22胜18负,23胜15负,83:77,77,83,0
2298,5,12,24胜18负,30胜11负,96:83,83,96,0
2299,5,150,26胜19负,31胜16负,93:120,120,93,0
2300,5,171,26胜21负,21胜27负,107:102,102,107,0
2301,5,108,27胜21负,19胜31负,110:115,115,110,1
2302,73,5,30胜24负,27胜24负,113:90,90,113,1
2303,5,12,27胜25负,38胜14负,95:106,106,95,0
2304,157,5,11胜45负,28胜26负,115:126,126,115,1
2305,129,5,30胜28负,30胜27负,103:95,95,103,1
2306,5,94,30胜29负,26胜33负,89:102,102,89,0
2307,185,5,30胜31负,30胜30负,100:108,108,100,1
2308,33,5,26胜37负,31胜30负,90:100,100,90,0
2309,5,66,32胜32负,44胜20负,109:107,107,109,0
2310,5,101,33胜32负,31胜35负,96:117,117,96,0
2311,38,5,19胜48负,33胜33负,102:118,118,102,1
2312,136,5,33胜35负,34胜33负,85:92,92,85,1
2313,5,52,36胜34负,29胜43负,94:106,106,94,0
2314,5,94,36胜35负,29胜43负,89:111,111,89,0
2315,73,5,44胜30负,36胜36负,102:100,100,102,0
2316,5,26,36胜37负,39胜34负,98:96,96,98,0
2317,5,185,37胜37负,37胜38负,103:100,100,103,0
2318,19,5,40胜36负,38胜37负,94:90,90,94,0
2319,12,5,56胜23负,39胜40负,102:105,105,102,1
2320,5,199,40胜40负,30胜50负,121:116,116,121,0
2321,59,5,10胜71负,41胜40负,105:115,115,105,1
2322,46,6,1胜0负,0胜0负,99:105,105,99,0
2323,6,39,2胜0负,1胜2负,118:88,88,118,1
2324,53,6,1胜3负,3胜1负,117:104,104,117,0
2325,6,27,3胜2负,2胜3负,94:111,111,94,0
2326,95,6,3胜3负,3胜3负,80:112,112,80,0
2327,102,6,2胜6负,5胜4负,95:106,106,95,0
2328,6,137,7胜4负,7胜5负,85:77,77,85,0
2329,6,158,8胜5负,7胜6负,118:110,110,118,0
2330,6,109,9胜5负,5胜8负,107:110,110,107,1
2331,13,6,13胜4负,10胜7负,105:111,111,105,1
2332,6,20,11胜9负,11胜11负,91:102,102,91,0
2333,207,6,18胜4负,11胜10负,91:95,95,91,1
2334,20,6,14胜15负,13胜13负,82:113,113,82,0
2335,102,6,12胜15负,14胜13负,107:97,97,107,1
2336,39,6,8胜22负,15胜16负,99:101,101,99,0
2337,6,27,16胜16负,15胜18负,101:111,111,101,1
2338,34,6,15胜16负,16胜17负,116:96,96,116,1
2339,6,13,17胜18负,26胜7负,106:94,94,106,1
2340,67,6,24胜11负,18胜18负,118:123,123,118,1
2341,123,6,22胜16负,19胜18负,109:94,94,109,1
2342,6,193,20胜21负,25胜17负,108:104,104,108,0
2343,172,6,16胜26负,21胜23负,99:102,102,99,0
2344,6,95,22胜23负,18胜28负,100:92,92,100,1
2345,74,6,26胜19负,23胜23负,119:114,114,119,0
2346,88,6,16胜30负,23胜24负,100:88,88,100,1
2347,6,123,24胜25负,28胜21负,128:100,100,128,0
2348,6,116,26胜28负,20胜34负,89:117,117,89,0
2349,46,6,37胜19负,27胜29负,103:104,104,103,1
2350,6,13,29胜29负,40胜16负,117:99,99,117,1
2351,109,6,26胜33负,30胜29负,125:107,107,125,0
2352,144,6,50胜10负,30胜30负,87:94,94,87,1
2353,151,6,36胜25负,31胜30负,101:91,91,101,1
2354,6,20,31胜31负,30胜32负,95:109,109,95,0
2355,6,95,31胜32负,23胜41负,91:98,98,91,1
2356,6,46,31胜34负,41胜25负,80:100,100,80,0
2357,193,6,37胜30负,32胜35负,98:91,91,98,0
2358,137,6,43胜26负,32胜37负,86:95,95,86,1
2359,6,67,33胜37负,41胜29负,120:122,122,120,1
2360,20,6,34胜37负,33胜38负,95:117,117,95,0
2361,13,6,47胜26负,35胜39负,93:99,99,93,1
2362,74,6,39胜36负,36胜39负,104:106,106,104,1
2363,6,200,37胜39负,33胜43负,117:110,110,117,0
2364,6,53,38胜39负,29胜48负,91:100,100,91,0
2365,6,60,38胜40负,28胜50负,102:90,90,102,1
2366,95,6,28胜52负,39胜41负,75:122,122,75,0
2367,39,6,20胜61负,40胜41负,73:112,112,73,0
2368,6,46,0胜0负,0胜0负,106:102,102,106,0
2369,6,46,1胜0负,0胜1负,111:97,97,111,1
2370,46,6,1胜2负,2胜1负,104:95,95,104,1
2371,6,46,2胜2负,2胜2负,97:108,108,97,0
2372,46,6,3胜2负,2胜3负,105:83,83,105,1
2373,124,47,2胜0负,1胜1负,100:95,95,100,1
2374,96,47,1胜2负,2胜2负,91:112,112,91,0
2375,54,47,1胜5负,3胜2负,106:96,96,106,1
2376,47,110,3胜5负,2胜7负,103:112,112,103,1
2377,180,47,2胜6负,3胜6负,104:96,96,104,1
2378,47,145,5胜8负,1胜12负,124:115,115,124,0
2379,68,47,9胜7负,8胜8负,99:90,90,99,0
2380,47,61,11胜9负,8胜11负,116:99,99,116,1
2381,103,47,14胜8负,15胜9负,125:129,129,125,1
2382,82,47,19胜8负,16胜10负,113:91,91,113,1
2383,47,7,16胜11负,7胜19负,102:109,109,102,1
2384,47,89,18胜13负,20胜12负,103:112,112,103,1
2385,21,47,14胜17负,18胜14负,92:98,98,92,1
2386,201,47,29胜4负,19胜14负,115:128,128,115,1
2387,47,152,21胜14负,26胜11负,87:109,109,87,0
2388,47,124,21胜15负,20胜18负,100:86,86,100,1
2389,47,131,22胜15负,25胜13负,125:131,131,125,1
2390,47,180,22胜18负,19胜23负,89:104,104,89,0
2391,47,117,22胜20负,27胜15负,98:101,101,98,0
2392,14,47,17胜30负,24胜22负,106:124,124,106,1
2393,47,54,25胜23负,22胜26负,98:100,100,98,0
2394,28,47,22胜34负,28胜26负,108:114,114,108,1
2395,47,7,29胜26负,10胜47负,109:115,115,109,1
2396,47,89,30胜27负,38胜22负,110:116,116,110,1
2397,7,47,11胜49负,31胜28负,119:115,115,119,0
2398,131,47,33胜30负,32胜29负,109:131,131,109,1
2399,47,187,33胜29负,36胜29负,110:108,108,110,0
2400,47,173,34胜29负,46胜18负,109:127,127,109,1
2401,21,47,27胜38负,34胜30负,106:93,93,106,1
2402,47,21,34胜31负,28胜38负,117:119,119,117,1
2403,47,14,35胜32负,24胜44负,95:99,99,95,1
2404,47,28,35胜33负,27胜41负,95:100,100,95,0
2405,40,47,49胜19负,35胜34负,96:86,86,96,0
2406,89,47,45胜26负,35胜35负,111:99,99,111,1
2407,89,47,47胜26负,35胜38负,106:113,113,106,1
2408,7,47,15胜60负,37胜38负,107:123,123,107,1
2409,47,54,39胜38负,40胜38负,97:92,92,97,0
2410,47,21,41胜38负,37胜43负,110:109,109,110,0
2411,0,47,60胜20负,42胜38负,103:90,90,103,1
2412,47,40,42胜39负,55胜26负,102:112,112,102,1
2413,47,40,0胜1负,1胜0负,93:96,96,93,1
2414,40,47,2胜0负,0胜2负,113:96,96,113,1
2415,40,47,3胜0负,0胜3负,101:89,89,101,1
2416,41,48,0胜0负,0胜0负,104:106,106,104,1
2417,48,153,1胜1负,1胜2负,82:99,99,82,1
2418,48,97,2胜4负,0胜6负,99:96,96,99,0
2419,48,118,6胜5负,10胜2负,92:104,104,92,0
2420,90,48,8胜3负,6胜6负,102:93,93,102,1
2421,29,48,4胜9负,6胜8负,100:86,86,100,1
2422,48,181,7胜12负,11胜8负,84:97,97,84,1
2423,15,48,4胜18负,7胜13负,86:113,113,86,0
2424,1,48,18胜6负,8胜13负,105:102,102,105,0
2425,48,62,13胜15负,9胜20负,90:87,87,90,0
2426,195,48,6胜23负,15胜15负,89:85,85,89,0
2427,69,48,19胜13负,16胜17负,82:99,99,82,1
2428,48,83,17胜17负,26胜7负,88:102,102,88,0
2429,8,48,13胜19负,17胜18负,103:120,120,103,1
2430,48,41,18胜18负,18胜17负,111:115,115,111,1
2431,48,202,18胜20负,25胜12负,105:118,118,105,1
