客场队名,主场队名,客场本场前战绩,主场本场前战绩,比分
65,58,37胜22负,13胜46负,114:103
58,121,13胜47负,33胜27负,118:123
135,58,24胜36负,13胜48负,89:83
72,58,49胜12负,13胜49负,84:92
170,58,22胜41负,14胜50负,107:114
58,44,15胜51负,29胜36负,89:108
51,58,14胜54负,16胜52负,81:97
58,156,17胜52负,17胜50负,87:101
58,170,17胜53负,24胜45负,106:107
58,51,18胜59负,14胜62负,91:101
58,4,18胜61负,47胜32负,107:114
32,58,40胜40负,18胜62负,107:97
136,59,0胜1负,0胜1负,99:71
59,33,0胜3负,1胜3负,87:91
5,59,4胜3负,0胜6负,111:88
66,59,5胜3负,0胜7负,119:103
59,122,0胜8负,5胜3负,85:102
59,206,0胜9负,6胜2负,83:92
178,59,6胜4负,0胜10负,92:86
26,59,6胜5负,0胜11负,112:85
59,87,0胜13负,7胜4负,91:96
59,45,0胜15负,7胜7负,80:84
59,192,0胜17负,9胜8负,84:92
59,52,1胜18负,8胜10负,87:99
108,59,7胜13负,1胜19负,108:105
59,38,1胜21负,6胜15负,91:100
59,66,1胜23负,15胜9负,76:96
59,5,1胜24负,13胜8负,96:115
52,59,12胜14负,1胜26负,107:97
59,12,1胜27负,17胜7负,86:108
192,59,15胜14负,1胜28负,104:90
59,164,1胜30负,12胜19负,111:104
59,136,2胜30负,12胜16负,91:95
59,171,2胜31负,12胜19负,110:105
115,59,12胜22负,3胜33负,99:109
73,59,21胜15负,4胜33负,126:98
12,59,25胜9负,4胜35负,95:85
5,59,22胜15负,4胜36负,115:111
59,94,5胜38负,20胜20负,96:87
45,59,23胜21负,6胜38负,112:92
164,59,14胜31负,6胜39负,103:113
143,59,42胜4负,7胜40负,108:105
59,101,7胜42负,21胜26负,94:106
38,59,13胜38负,7胜43负,98:103
150,59,34胜17负,8胜43负,98:92
171,59,21胜31负,8胜44负,114:110
59,199,8胜45负,20胜33负,114:121
59,178,8胜46负,29胜27负,103:129
94,59,24胜30负,8胜47负,124:115
59,19,8胜48负,28胜29负,91:111
59,94,8胜50负,25胜32负,116:130
59,101,8胜51负,28胜30负,108:116
87,59,35胜26负,8胜53负,112:102
122,59,46胜22负,9胜59负,111:97
45,59,39胜30负,9胜60负,120:105
59,129,9胜63负,37胜36负,105:108
199,59,29胜47负,9胜68负,93:107
33,59,32胜47负,10胜69负,109:108
59,66,10胜70负,54胜26负,98:122
95,60,0胜3负,0胜2负,103:101
13,60,5胜0负,0胜4负,102:101
60,27,0胜6负,3胜4负,115:122
102,60,2胜7负,1胜9负,102:109
60,116,2胜9负,3胜7负,86:110
6,60,9胜6负,4胜11负,105:89
13,60,12胜2负,4胜12负,112:108
60,67,4胜13负,10胜6负,95:122
60,193,4胜17负,14胜8负,91:96
60,200,4胜18负,7胜15负,99:88
60,20,5胜18负,13胜12负,97:79
67,60,17胜7负,6胜18负,123:114
60,137,7胜23负,19胜13负,83:100
60,109,7胜24负,14胜18负,124:122
116,60,11胜23负,8胜24负,91:93
60,46,9胜24负,21胜14负,106:110
60,39,9胜25负,8胜27负,105:95
53,60,17胜21负,10胜25负,97:98
60,102,12胜25负,19胜19负,93:109
67,60,28胜13负,13胜26负,89:94
151,60,30胜16负,15胜27负,110:121
186,60,34胜15负,17胜27负,123:118
60,6,17胜28负,23胜25负,108:121
60,179,18胜29负,18胜30负,95:113
60,207,18胜30负,37胜11负,86:102
207,60,39胜12负,18胜33负,111:103
60,95,18胜34负,20胜34负,112:111
88,60,24胜30负,19胜34负,109:117
102,60,34胜21负,21胜35负,112:120
60,53,22胜35负,23胜35负,109:110
60,88,22胜37负,27胜33负,98:125
20,60,29胜32负,23胜38负,136:106
34,60,28胜33负,23胜39负,112:98
60,151,23胜41负,39胜26负,100:112
179,60,29胜38负,24胜43负,74:116
46,60,44胜25负,25胜43负,99:105
60,95,26胜43负,25胜45负,109:112
60,123,26胜44负,40胜30负,97:122
60,6,26胜45负,34胜38负,117:107
60,27,27胜45负,36胜36负,94:107
60,39,27胜46负,16胜57负,106:101
60,13,28胜47负,47胜27负,105:122
60,67,28胜48负,46胜30负,105:113
39,60,18胜59负,28胜49负,141:118
34,60,40胜39负,28胜51负,90:82
60,53,28胜53负,30胜51负,113:114
166,110,0胜0负,0胜0负,117:116
166,7,1胜1负,1胜1负,107:104
61,166,1胜1负,2胜1负,108:111
152,166,4胜0负,3胜1负,112:100
110,166,1胜7负,3胜3负,98:89
166,159,3胜4负,3胜4负,89:103
14,166,3胜6负,3胜5负,100:94
194,166,10胜1负,4胜7负,75:71
166,131,4胜8负,9胜5负,83:94
0,166,8胜6负,4胜10负,96:85
21,166,8胜7负,4胜11负,107:98
166,152,4胜12负,13胜6负,80:113
173,166,15胜4负,4胜13负,105:103
166,145,4胜14负,4胜17负,91:98
82,166,16胜8负,5胜15负,104:83
166,194,5胜17负,14胜10负,91:94
166,117,5胜18负,18胜8负,87:102
138,166,9胜18负,5胜20负,117:109
28,166,11胜16负,5胜21负,84:79
187,166,14胜17负,5胜23负,98:100
68,166,22胜14负,7胜24负,108:102
103,166,20胜14负,7胜25负,102:122
166,61,8胜25负,12胜24负,112:118
166,96,8胜26负,9胜26负,133:136
166,40,8胜27负,28胜9负,95:119
166,47,8胜28负,22胜16负,93:83
166,14,9胜28负,13胜26负,106:110
166,68,9胜29负,26胜15负,98:100
124,166,22胜20负,9胜30负,94:90
166,138,9胜31负,18胜23负,112:119
166,124,9胜32负,25胜20负,96:81
166,152,10胜33负,33胜13负,100:95
40,166,36胜11负,12胜33负,95:90
201,166,41胜8负,12胜34负,113:100
131,166,30胜22负,12胜35负,107:104
117,166,33胜18负,12胜37负,99:97
166,159,12胜38负,26胜25负,113:108
166,117,13胜38负,34胜19负,96:126
166,89,13胜41负,36胜21负,111:105
166,187,14胜42负,32胜27负,92:120
124,166,33胜27负,15胜43负,107:102
180,166,32胜32负,15胜45负,123:101
89,166,40胜24负,15胜46负,106:102
7,166,12胜53负,16胜49负,97:93
166,110,16胜51负,17胜53负,127:95
166,0,17胜51负,49胜19负,92:132
166,28,17胜52负,28胜41负,97:90
166,21,18胜52负,32胜40负,110:93
159,166,36胜36负,20胜52负,113:116
166,103,21胜52负,44胜29负,90:104
103,166,45胜29负,21胜53负,99:90
131,166,36胜40负,21胜54负,97:106
166,180,22胜54负,41胜36负,104:101
166,201,23胜54负,59胜19负,92:124
166,138,23胜56负,35胜44负,104:103
152,166,56胜25负,24胜57负,116:108
48,167,1胜2负,1胜2负,114:92
167,104,2胜4负,4胜2负,83:110
29,167,2胜3负,2胜5负,100:103
167,62,3胜7负,4胜6负,98:91
167,181,4胜7负,3胜7负,89:103
167,174,4胜8负,7胜5负,60:99
167,111,4胜9负,4胜8负,86:99
22,167,9胜3负,4胜10负,88:92
167,202,5胜10负,10胜5负,88:86
167,125,6胜11负,9胜7负,89:101
104,167,12胜5负,6胜12负,122:93
167,132,6胜13负,10胜7负,93:96
167,139,6胜14负,6胜12负,90:93
125,167,13胜9负,6胜15负,92:95
167,195,8胜15负,4胜20负,100:92
118,167,20胜5负,9胜16负,101:106
167,1,10胜17负,23胜7负,115:121
167,15,10胜19负,9胜22负,108:114
167,8,10胜20负,11胜17负,92:93
167,83,10胜21负,25胜7负,108:120
132,167,15胜17负,11胜22负,96:103
167,153,12胜23负,21胜14负,107:115
167,104,12胜25负,21胜17负,116:119
174,167,23胜18负,13胜26负,97:110
69,167,23胜17负,14胜26负,106:99
15,167,15胜27负,14胜28负,124:112
41,167,23胜19负,14胜29负,95:120
132,167,24胜22负,17胜29负,103:102
167,139,17胜30负,19胜26负,108:111
111,167,25胜29负,18胜34负,108:116
160,167,26胜26负,19胜34负,109:100
167,146,19胜36负,33胜22负,94:109
181,167,30胜25负,19胜37负,104:87
167,174,19胜38负,31胜26负,100:110
167,195,19胜39负,15胜42负,96:105
167,118,19胜40负,42胜16负,89:115
202,167,44胜16负,20胜41负,127:102
118,167,45胜17负,20胜42负,103:92
167,118,21胜43负,46胜18负,110:118
153,167,41胜24负,21胜44负,96:113
168,2,0胜0负,0胜0负,87:93
168,112,0胜1负,0胜0负,80:92
168,23,0胜2负,1胜1负,98:106
203,168,4胜1负,2胜3负,97:86
168,154,2胜4负,2胜4负,90:103
35,168,5胜2负,2胜7负,99:90
154,168,6胜5负,2胜8负,97:113
168,133,3胜8负,6胜6负,102:104
112,168,5胜7负,4胜9负,97:89
23,168,7胜8负,4胜10负,97:92
168,147,4胜11负,9胜6负,81:116
168,126,6胜12负,8胜11负,99:80
168,175,7胜12负,10胜10负,96:119
168,30,7胜13负,10胜9负,85:98
105,168,12胜12负,7胜15负,122:97
168,161,7胜16负,9胜15负,90:101
140,168,17胜8负,7胜17负,127:131
168,147,8胜17负,19胜6负,85:97
126,168,13胜12负,8胜18负,96:108
49,168,21胜8负,9胜19负,105:106
42,168,14胜15负,10胜19负,96:118
168,16,11胜19负,11胜22负,97:103
168,9,11胜20负,7胜25负,97:94
168,63,12胜20负,12胜20负,105:96
189,168,21胜10负,13胜21负,113:81
175,168,13胜23负,13胜22负,117:112
84,168,23胜11负,13胜23负,128:99
9,168,9胜30负,13胜24负,118:124
168,189,15胜24负,24胜13负,69:85
161,168,13胜28负,16胜26负,106:96
119,168,33胜10负,16胜27负,105:95
168,105,16胜28负,26胜18负,93:121
168,98,16胜29负,11胜31负,96:94
168,42,17胜29负,21胜23负,81:99
182,168,28胜24负,18胜33负,111:117
168,189,19胜33负,32胜18负,101:108
168,175,19胜34负,22胜29负,100:123
203,168,42胜12负,19胜35负,108:102
168,70,19胜36负,29胜23负,108:122
168,196,19胜37负,19胜37负,95:110
168,84,19胜38负,40胜14负,129:141
168,91,19胜39负,16胜41负,125:101
105,168,39胜22负,21胜40负,120:113
168,140,21胜41负,34胜27负,83:87
30,168,31胜29负,22胜42负,115:113
168,154,23胜43负,35胜32负,102:113
56,168,26胜42负,25胜45负,117:103
168,140,25胜46负,41胜31负,105:98
182,168,41胜33负,27胜47负,112:102
196,168,27胜51负,27胜50负,110:121
168,182,28胜51负,44胜35负,100:121
168,119,28胜52负,59胜21负,95:104
147,168,55胜26负,28胜53负,112:108
106,169,0胜0负,0胜0负,88:90
169,141,1胜1负,1胜1负,87:98
71,169,1胜2负,1胜2负,105:100
169,127,1胜3负,2胜2负,91:104
127,169,3胜2负,1胜4负,96:85
17,169,2胜5负,2胜5负,97:90
190,169,4胜5负,2胜6负,97:86
162,169,5胜4负,2胜7负,104:107
169,162,3胜7负,5胜5负,113:106
169,148,4胜7负,8胜5负,102:103
148,169,11胜5负,4胜9负,104:98
120,169,12胜3负,4胜11负,97:95
169,134,4胜13负,4胜17负,112:102
134,169,4胜19负,6胜13负,122:101
169,162,6胜14负,12胜9负,107:116
183,169,16胜8负,6胜15负,91:106
169,71,7胜16负,13胜12负,107:124
169,92,7胜18负,8胜18负,105:100
197,169,11胜14负,8胜18负,113:100
85,169,22胜6负,8胜19负,103:108
169,204,9胜19负,23胜7负,104:112
169,183,9胜20负,21胜12负,110:106
57,169,10胜21负,10胜20负,113:104
127,169,26胜8负,10胜22负,119:123
92,169,10胜25负,11胜22负,83:103
10,169,13胜23负,12胜22负,80:124
169,24,13胜22负,29胜7负,92:116
169,113,13胜23负,18胜19负,111:108
169,190,14胜23负,19胜19负,90:91
169,120,14胜24负,30胜10负,93:108
169,197,14胜25负,16胜24负,114:97
169,183,15胜25负,28胜15负,98:119
24,169,33胜8负,15胜26负,116:111
106,169,21胜21负,15胜27负,125:117
169,134,15胜28负,15胜29负,99:106
190,169,23胜20负,15胜29负,99:89
169,176,15胜30负,26胜21负,103:107
169,204,15胜31负,33胜13负,93:95
3,169,23胜23负,15胜32负,70:99
64,169,26胜22负,16胜32负,101:109
169,10,17胜34负,18胜33负,99:109
141,169,31胜22负,18胜35负,101:92
43,169,19胜37负,18胜36负,98:105
169,106,19胜36负,25胜29负,109:95
169,155,20胜37负,19胜39负,122:126
169,17,22胜41负,24胜39负,89:99
169,57,22胜42负,15胜48负,115:98
169,3,23胜42负,36胜29负,87:94
169,113,23胜43负,32胜32负,102:104
204,169,51胜16负,24胜44负,99:79
50,169,29胜42负,25胜45负,107:99
169,176,25胜47负,43胜30负,100:103
169,197,25胜48负,32胜41负,102:97
155,169,25胜49负,26胜48负,102:107
176,169,46胜31负,27胜49负,93:91
169,127,27胜51负,50胜28负,99:100
169,148,27胜52负,55胜24负,101:117
162,169,47胜34负,28胜53负,104:99
142,170,0胜0负,0胜0负,95:77
128,170,1胜0负,0胜1负,94:103
170,107,2胜1负,1胜1负,110:105
107,170,1胜2负,3胜1负,109:131
170,177,5胜2负,4胜3负,98:106
170,191,5胜3负,7胜1负,110:111
198,170,5胜4负,6胜4负,106:100
4,170,8胜3负,6胜5负,88:103
170,114,7胜5负,3胜8负,113:101
170,184,9胜5负,11胜3负,89:102
170,205,9胜6负,10胜4负,104:112
191,170,14胜2负,9胜7负,97:85
65,170,13胜4负,9胜8负,117:109
25,170,7胜12负,9胜9负,101:102
184,170,16胜5负,11胜11负,113:109
156,170,8胜18负,11胜15负,101:108
170,142,12胜15负,22胜3负,108:128
170,37,13胜17负,13胜16负,99:107
170,44,13胜18负,10胜18负,84:106
177,170,26胜12负,16胜21负,108:104
86,170,17胜22负,16胜22负,95:83
170,128,16胜24负,30胜11负,94:98
37,170,17胜24负,16胜25负,103:100
170,65,16胜27负,30胜15负,102:119
170,25,16胜29负,17胜31负,99:94
142,170,37胜8负,17胜29负,121:96
170,4,18胜32负,32胜20负,86:104
170,32,18胜33负,29胜23负,103:111
170,149,19胜34负,36胜19负,99:126
191,170,41胜14负,19胜35负,90:102
205,170,34胜23负,20胜35负,107:96
128,170,38胜19负,20胜36负,110:99
170,51,20胜37负,12胜46负,124:86
170,205,21胜37负,36胜23负,85:112
170,93,21胜38负,19胜43负,114:119
170,72,21胜40负,49胜13负,105:130
170,58,22胜41负,14胜50负,107:114
72,170,52胜14负,22胜43负,110:103
170,198,26胜45负,37胜34负,88:102
170,184,26胜47负,50胜24负,111:115
114,170,16胜60负,26胜50负,111:116
170,135,27胜50负,35胜42负,91:103
170,121,27胜51负,42胜36负,103:116
156,170,21胜59负,27胜53负,92:102
170,156,28胜53负,21胜60负,122:99
150,171,0胜0负,0胜0负,111:104
171,150,1胜1负,2胜0负,109:114
192,171,2胜2负,1胜2负,103:89
171,164,1胜3负,2胜2负,97:118
143,171,6胜0负,1胜5负,103:94
206,171,4胜2负,1胜6负,106:88
38,171,1胜7负,2胜7负,109:111
66,171,7胜3负,3胜7负,101:107
171,87,4胜8负,6胜4负,109:116
171,94,4胜9负,6胜6负,97:91
171,143,6胜11负,17胜0负,101:120
178,171,10胜7负,6胜12负,98:112
45,171,10胜8负,7胜12负,114:97
171,122,7胜14负,11胜8负,95:98
136,171,9胜9负,7胜15负,106:114
185,171,12胜13负,9胜15负,97:107
171,115,10胜15负,9胜16负,95:99
171,101,11胜16负,11胜14负,99:113
171,26,11胜17负,16胜11负,108:106
171,143,12胜18负,28胜1负,103:122
59,171,2胜31负,12胜19负,110:105
171,122,13胜20负,24胜10负,116:104
171,178,14胜20负,19胜15负,116:117
143,171,34胜2负,15胜21负,128:116
199,171,11胜26负,15胜22负,109:97
171,136,15胜23负,17胜21负,103:101
171,150,16胜23负,26胜13负,110:103
73,171,26胜17负,18胜23负,88:91
26,171,23胜20负,19胜23负,97:108
171,192,20胜26负,27胜20负,117:121
33,171,20胜29负,20胜27负,104:111
171,12,21胜30负,36胜14负,100:120
171,59,21胜31负,8胜44负,114:110
108,171,22胜32负,22胜31负,110:116
171,108,23胜31负,22胜34负,114:110
206,171,47胜9负,24胜31负,108:92
150,171,37胜20负,24胜32负,117:107
171,192,24胜34负,35胜24负,98:104
171,178,24胜35负,33胜28负,104:101
171,199,25胜36负,23胜38负,112:115
94,171,27胜36负,25胜38负,107:100
136,171,30胜35负,25胜39负,108:99
171,157,25胜40负,14胜53负,106:98
171,52,26胜42负,28胜42负,88:80
171,115,27胜43负,22胜48负,104:113
178,171,35胜37负,28胜44负,111:133
101,171,36胜38负,29胜45负,111:120
87,171,43胜31负,30胜45负,112:106
171,108,30胜46负,32胜45负,115:106
129,171,41胜37负,31胜46负,115:107
115,171,26胜52负,31胜47负,105:97
171,164,32胜48负,22胜58负,105:101
207,172,1胜0负,1胜0负,102:94
116,172,0胜1负,1胜1负,103:106
172,74,2胜1负,2胜0负,95:106
172,88,2胜2负,1胜2负,96:108
172,95,2胜3负,1胜3负,94:102
172,34,2胜4负,3胜2负,91:117
207,172,8胜3负,4胜7负,110:105
151,172,10胜2负,4胜8负,121:115
67,172,8胜4负,4胜9负,99:102
123,172,8胜7负,5胜9负,101:116
186,172,9胜6负,6胜9负,117:104
172,39,6胜10负,4胜11负,122:105
158,172,10胜16负,8胜15负,92:116
172,186,9胜15负,18胜7负,98:132
130,172,13胜16负,10胜17负,121:126
172,137,11胜17负,18胜11负,94:93
60,172,7胜22负,13胜17负,100:102
172,130,14胜17负,13胜20负,89:102
172,109,14胜19负,14胜20负,120:113
88,172,10胜26负,15胜19负,107:102
144,172,31胜6负,15胜21负,117:106
20,172,18胜21负,15胜22负,94:100
123,172,24胜17负,16胜23负,122:118
172,20,16胜27负,21胜24负,109:104
172,13,17胜27负,30胜13负,116:112
172,27,18胜27负,23胜22负,111:115
172,60,19胜28负,17胜29负,119:122
165,172,15胜34负,19胜30负,105:103
144,172,43胜7负,19胜31负,106:109
6,172,25胜26负,20胜31负,112:107
46,172,33胜18负,20胜32负,92:108
74,172,31胜22负,21胜32负,107:108
200,172,21胜33负,22胜32负,99:105
172,158,23胜32负,19胜37负,97:96
109,172,25胜31负,24胜33负,100:116
116,172,23胜36负,25胜34负,102:88
39,172,9胜49负,25胜35负,109:100
172,109,25胜37负,28胜34负,96:108
95,172,24胜43负,25胜41负,115:120
172,165,26胜41负,22胜45负,107:101
172,123,27胜41负,39胜29负,94:110
172,207,27胜42负,52胜16负,102:118
172,144,27胜44负,57胜14负,100:114
172,151,27胜45负,44胜30负,98:97
193,172,40胜33负,28胜45负,90:91
137,172,45胜29负,29胜45负,112:82
172,200,29胜46负,32胜43负,89:117
172,116,29胜47负,30胜44负,123:117
179,172,32胜44负,30胜47负,87:98
172,158,31胜47负,23胜55负,94:98
165,172,24胜57负,31胜49负,104:129
159,124,0胜0负,0胜0负,92:106
159,131,0胜1负,0胜1负,110:94
152,159,1胜0负,1胜1负,114:106
201,159,2胜1负,1胜2负,112:110
159,68,2胜3负,6胜0负,118:114
159,187,3胜3负,3胜4负,99:109
166,159,3胜4负,3胜4负,89:103
159,152,4胜4负,8胜1负,121:116
159,82,6胜4负,6胜4负,96:123
159,89,6胜5负,7胜3负,89:105
0,159,7胜5负,7胜7负,123:115
145,159,3胜13负,7胜8负,108:116
159,103,8胜8负,9胜6负,133:138
21,159,9胜8负,9胜9负,97:105
96,159,6胜12负,10胜9负,108:125
159,124,11胜9负,9胜11负,99:106
159,173,12胜12负,20胜5负,91:106
82,159,21胜9负,13胜14负,95:83
159,145,13胜15负,8胜22负,103:108
54,159,12胜19负,13胜16负,123:110
14,159,11胜21负,13胜17负,75:92
159,103,15胜20负,20胜16负,98:132
124,159,20胜19负,16胜21负,111:115
159,47,17胜21负,22胜17负,129:121
159,7,18胜21负,8胜32负,106:98
159,96,19胜21负,12胜28负,109:91
117,159,31胜17负,23胜24负,111:107
159,138,23胜25负,22胜27负,104:92
138,159,23胜28负,24胜25负,88:112
159,131,25胜25负,31胜23负,95:83
131,159,31胜24负,26胜26负,101:102
159,61,28胜27负,16胜42负,110:92
159,40,31胜27负,43胜15负,103:115
103,159,37胜27负,33胜29负,116:97
159,194,33胜32负,39胜30负,95:100
159,145,34胜33负,27胜43负,108:99
159,152,35胜33负,50胜20负,137:139
194,159,41胜31负,36胜34负,106:100
159,166,36胜36负,20胜52负,113:116
145,159,29胜46负,36胜38负,98:111
159,201,37胜38负,57胜19负,97:114
159,0,37胜39负,56胜20负,94:97
159,194,38胜40负,45胜33负,97:109
110,159,17胜63负,38胜42负,127:135
201,159,61胜20负,39胜42负,103:106
160,118,1胜2负,4胜0负,97:107
29,160,2胜5负,3胜4负,93:109
160,153,4胜4负,6胜4负,83:99
8,160,4胜5负,4胜5负,101:90
160,202,4胜7负,8胜4负,91:102
160,48,4胜9负,6胜7负,91:88
160,41,5胜9负,5胜8负,79:71
160,174,6胜9负,10胜7负,87:93
62,160,4胜13负,6胜10负,99:96
174,160,13胜8负,7胜12负,122:99
160,195,7胜13负,4胜17负,120:103
160,181,8胜13负,12胜10负,81:99
160,69,9胜14负,16胜8负,99:90
160,139,12胜15负,10胜14负,96:102
153,160,18胜12负,12胜19负,90:102
111,160,18胜18负,14胜20负,95:104
146,160,21胜12负,15胜20负,78:81
167,160,12胜24负,16胜20负,88:96
174,160,23胜17负,17胜21负,94:96
111,160,21胜21负,19胜21负,127:124
15,160,16胜27负,21胜22负,101:109
181,160,24胜21负,22胜22负,86:99
160,83,23胜22负,33胜11负,95:99
160,22,23胜24负,27胜18负,113:111
160,8,24胜24负,17胜28负,108:83
195,160,13胜39负,25胜26负,75:92
160,104,28胜26负,29胜25负,99:105
160,111,29胜27负,25胜32负,114:90
160,188,30胜27负,33胜23负,93:104
160,181,30胜28负,32胜26负,112:105
160,202,31胜28负,41胜16负,91:105
125,160,28胜33负,31胜29负,107:125
118,160,44胜17负,32胜29负,109:97
104,160,34胜28负,33胜30负,118:107
16,161,0胜1负,0胜1负,89:92
161,91,1胜1负,1胜0负,94:115
161,84,1胜2负,2胜1负,99:124
105,161,4胜3负,3胜4负,100:110
2,161,4胜3负,4胜4负,112:106
161,154,4胜5负,3胜5负,102:114
196,161,3胜7负,5胜7负,108:111
161,16,7胜8负,4胜11负,77:117
161,63,7胜9负,3胜13负,97:101
161,49,7胜10负,11胜4负,99:106
161,189,7胜11负,12胜3负,98:108
161,147,7胜13负,12胜6负,99:117
133,161,13胜10负,8胜15负,84:99
168,161,7胜16负,9胜15负,90:101
147,161,20胜6负,11胜16负,103:77
49,161,20胜8负,11胜17负,99:97
161,112,11胜19负,13胜13负,107:111
133,161,16胜17负,12胜21负,87:80
189,161,20胜10负,12胜22负,92:81
161,30,12胜23负,16胜16负,99:108
161,42,12胜24负,17胜17负,79:87
161,168,13胜28负,16胜26负,106:96
147,161,32胜11负,14胜28负,88:93
154,161,20胜25负,15胜30负,86:92
175,161,19胜27负,16胜30负,109:99
161,140,16胜31负,29胜17负,93:113
161,189,16胜32负,30胜16负,96:90
161,196,17胜32负,15胜33负,84:93
161,119,17胜33负,37胜12负,96:127
161,126,17胜36负,25胜28负,102:98
161,140,18胜36负,30胜23负,98:108
42,161,28胜26负,18胜37负,113:88
203,161,44胜13负,18胜38负,97:87
112,161,20胜33负,18胜39负,83:84
70,161,33胜23负,20胜39负,87:92
63,161,23胜38负,21胜39负,98:71
161,168,21胜40负,21胜42负,112:121
182,161,34胜29负,21胜41负,105:107
161,98,22胜44负,22胜42负,105:127
98,161,23胜43负,23胜45负,88:79
35,161,40胜29负,23胜47负,102:100
168,161,26胜46负,23胜49负,117:103
23,161,46胜27负,23胜50负,112:104
161,147,23胜51负,49胜26负,101:126
140,161,43胜32负,23胜52负,111:107
161,182,23胜54负,43胜34负,98:101
161,112,24胜55负,29胜50负,93:105
161,105,25胜56负,56胜25负,98:118
127,162,0胜0负,0胜0负,91:104
134,162,0胜1负,1胜0负,84:87
162,204,3胜1负,3胜1负,96:99
197,162,3胜3负,4胜2负,94:101
162,127,5胜2负,5胜2负,89:90
36,162,2胜5负,5胜3负,100:98
162,169,5胜4负,2胜7负,104:107
169,162,3胜7负,5胜5负,113:106
162,85,7胜6负,10胜3负,92:107
127,162,13胜2负,7胜7负,106:120
134,162,2胜15负,9胜7负,112:104
162,155,11胜9负,10胜10负,114:108
169,162,6胜14负,12胜9负,107:116
204,162,19胜5负,14胜9负,108:101
155,162,13胜14负,16胜10负,90:117
57,162,8胜20负,17胜11负,101:115
190,162,13胜17负,19胜11负,99:91
162,113,20胜13负,17胜17负,104:103
162,190,21胜13负,15胜19负,99:104
162,17,21胜14负,15胜22负,108:110
162,50,21胜15负,14胜22负,96:98
176,162,23胜17负,22胜16负,110:107
106,162,20胜19负,22胜17负,103:117
24,162,33胜7负,23胜17负,100:124
99,162,20胜21负,24胜17负,101:95
162,57,25胜18负,14胜30负,124:113
162,31,26胜18负,8胜36负,126:117
3,162,23胜24负,29胜18负,101:92
43,162,19胜35负,31胜21负,94:100
204,162,40胜15负,32胜21负,85:106
183,162,37胜18负,33胜21负,115:112
162,134,33胜23负,20胜36负,86:109
162,141,36胜25负,39胜24负,107:113
162,148,36胜26负,44胜20负,105:112
10,162,24胜40负,36胜27负,110:101
162,43,36胜28负,22胜43负,87:80
92,162,19胜49负,38胜29负,93:109
17,162,25胜42负,39胜29负,92:98
162,155,44胜29负,24胜48负,99:115
148,162,53胜22负,44胜30负,112:108
162,127,44胜31负,49胜27负,109:93
120,162,55胜20负,45胜31负,115:122
162,197,46胜31负,32胜45负,94:88
162,204,47胜31负,61胜18负,104:112
162,176,47胜32负,48胜32负,98:101
190,162,48胜32负,47胜33负,97:91
162,169,47胜34负,28胜53负,104:99
156,163,0胜1负,0胜0负,99:119
163,135,2胜0负,0胜2负,91:118
191,163,4胜0负,3胜1负,102:91
170,163,4胜1负,3胜2负,114:112
142,163,5胜0负,3胜3负,95:107
37,163,4胜2负,4胜3负,104:112
163,149,5胜4负,4胜3负,107:120
163,44,5胜5负,3胜5负,118:114
163,25,8胜5负,5胜7负,106:83
107,163,7胜7负,9胜6负,112:120
163,107,10胜6负,7胜8负,97:122
93,163,6胜12负,10胜7负,93:90
25,163,7胜10负,10胜8负,99:116
163,177,11胜8负,15胜5负,118:106
86,163,9胜11负,12胜10负,103:97
32,163,12胜12负,12胜13负,96:94
163,51,13胜14负,5胜23负,99:90
163,100,14胜14负,19胜6负,104:92
163,198,18胜14负,15胜15负,106:110
65,163,24胜9负,19胜16负,109:125
163,32,20胜16负,18胜17负,102:96
163,191,22胜17负,25胜11负,110:122
11,163,19胜19负,22胜18负,100:107
114,163,6胜31负,23胜18负,99:110
156,163,12胜29负,24胜18负,100:115
128,163,31胜11负,25胜18负,113:118
184,163,29胜14负,26胜18负,113:111
149,163,29胜14负,26胜19负,120:100
100,163,31胜15负,26胜20负,98:106
4,163,30胜18负,27胜20负,93:99
163,142,28胜20负,36胜8负,87:106
191,163,35胜12负,28胜21负,102:101
163,170,29胜23负,17胜32负,83:85
44,163,20胜33负,29胜27负,115:110
163,107,29胜28负,20胜36负,110:96
121,163,32胜25负,30胜28负,113:117
205,163,35胜23负,31胜28负,101:74
163,37,32胜30负,25胜34负,108:100
51,163,13胜52负,34胜33负,89:102
198,163,37胜30负,35胜33负,72:74
163,184,36胜33负,46胜22负,117:102
170,163,25胜45负,38胜33负,108:99
121,163,41胜32负,38胜35负,109:97
163,128,38胜36负,47胜25负,86:109
135,163,34胜41负,38胜38负,85:87
163,72,39胜38负,57胜19负,69:96
163,205,39胜41负,54胜26负,91:107
149,163,55胜26负,39胜42负,112:101
129,164,1胜0负,0胜1负,92:110
164,122,3胜3负,3胜3负,103:124
150,164,5胜3负,3胜4负,104:118
157,164,2胜8负,5胜4负,101:120
164,108,6胜5负,6胜6负,114:107
199,164,3胜11负,7胜7负,120:114
143,164,16胜0负,7胜8负,135:116
164,101,8胜11负,7胜9负,106:109
164,192,8胜12负,11胜9负,93:95
164,5,8胜13负,11胜6负,103:101
94,164,12胜9负,9胜13负,104:107
129,164,9胜14负,10胜13负,106:96
115,164,9胜13负,10胜14负,101:108
164,178,11胜14负,13胜11负,94:104
164,143,11胜15负,24胜1负,103:128
199,164,7胜18负,11胜16负,88:104
